per	for
emperador	エンペラー
emperador	皇帝
emperador	天皇
estadístiques	統計
campió	チャンピオン
control	コントロール
copa	コパ
principalment	主に
llei	法律
llei	法学
interès	利子
interès	利息
gràfic	チャート
anual	年次
fan	ファン
defensa	ディフェンス
defensa	防御
defensa	抗弁
defensa	防衛
defensa	ディフェンス
defensa	防御
llocs	場所
llocs	スポット
mai	マイ
ministre	公使
ministre	大臣
alçada	身長
gràfica	グラフ
funció	機能
funció	関数
activitat	アクティビティ
presenta	プレゼント
tour	ツアー
ella	彼女
mèxic	メキシコ
públic	観客
públic	オーディエンス
públic	公衆
públic	公開
públic	パブリック
programa	プログラム
programa	プログラム
can	can
jaume	ジェームス
jaume	ジェームズ
cinema	映画
cinema	シネマ
juan	フアン
petita	小さな
petita	スモール
petita	小さい
construir	構築
fundació	財団
fundació	ファンデーション
fundació	ファウンデーション
esquerra	左側
patrimoni	遺産
referència	リファレンス
referència	参照
referència	参考
inici	開始
inici	始める
inici	スタート
hall	ホール
àrea	面積
àrea	領域
àrea	エリア
imagesize	imagesize
medalla	メダル
timeaxis	timeaxis
aproximadament	おおよそ
aproximadament	おおよそ
plotarea	plotarea
scalemajor	scalemajor
dateformat	dateformat
massa	ミサ
massa	質量
alignbars	alignbars
pos	pos
veu	ボイス
veu	音声
pobresa	貧困
brasil	ブラジル
scaleminor	scaleminor
formació	トレーニング
formació	講習
formació	修行
formació	訓練
formació	研修
backgroundcolors	backgroundcolors
organització	団体
organització	組織
resultat	結果
anglaterra	イギリス
possible	可能性
duc	公爵
duc	デューク
mesos	ヶ月
mesos	months
terres	土地
professor	教授
musical	ミュージカル
ingressos	収入
ingressos	所得
joc	ゲーム
mas	mas
robert	ロベルト
robert	ロベール
robert	ロバート
llengües	言語
transport	輸送
transport	交通
transport	輸送
transport	交通
jean	ジャン
jean	ジーン
creació	創造
creació	作成
caps	ヘッズ
caps	ヘッド
príncep	プリンス
particulars	個人
model	モデル
tercer	番目
tercer	サード
jugador	プレイヤー
jugador	プレーヤー
municipis	市町村
municipis	自治体
sons	サウンド
pàrquing	駐車
évolution	évolution
victòria	勝利
victòria	ビクトリア
victòria	ヴィクトリア
restauració	修復
restauració	復元
restauració	維新
principis	原則
principis	原理
fent	メイキング
rússia	ロシア
tractat	条約
david	デイヴィッド
david	ダビデ
david	デビッド
david	デヴィッド
escriptor	作家
escriptor	ライター
jordi	ジョルディ
naixement	誕生
viquipèdia	wikipedia
viquipèdia	ウィキペディア
estiu	summer
estiu	サマー
nelson	ネルソン
press	プレス
índia	インド
orde	オーダー
orde	注文
parts	パーツ
parts	部品
parts	当事者
parts	パーティ
parts	パーティー
manuel	マニュエル
manuel	マヌエル
residències	住居
residències	邸宅
probablement	おそらく
italià	イタリアン
antonio	アントニオ
mestre	マスター
xina	中国
xina	チャイナ
tanmateix	しかしながら
plantes	植物
fabricació	製造業
fabricació	製造業
las	ラス
las	las
permet	許可
romà	ローマン
romà	ロマン
romà	ローマ
número	番号
número	数値
número	ナンバー
ruta	経路
ruta	ルート
entrada	エントリー
entrada	エントリ
caràcter	文字
caràcter	性格
caràcter	キャラクター
companyia	会社
eds	eds
deu	テン
deu	ten
reis	キングス
port	港湾
port	ポート
portar	運ぶ
portar	持ち込み
conca	盆地
conca	クエンカ
parc	パーク
parc	公園
festival	フェスティバル
festival	祭事
festival	祭り
festival	お祭り
arts	arts
arts	芸術
gratuït	フリー
gratuït	無料
gratuït	自由
mitjans	メディア
mitjans	手段
drets	権利
llibres	書物
llibres	帳簿
llibres	書籍
inclou	含む
governador	知事
compositor	作曲家
tercera	番目
tercera	サード
capella	チャペル
bona	良い
bona	グッド
personatges	文字
personatges	キャラクター
teoria	セオリー
teoria	理論
comunicació	通信
comunicació	コミュニケーション
llum	軽い
llum	明るい
llum	ライト
blanc	白い
blanc	ホワイト
massachusetts	マサチューセッツ
meitat	半分
meitat	ハーフ
lliure	フリー
lliure	無料
lliure	自由
aleshores	それから
televisió	テレビ
últim	最終
últim	ラスト
últim	最後
tema	話題
tema	トピック
tema	テーマ
spacewatch	spacewatch
humans	ヒト
humans	ヒト
humans	ヒューマン
humans	人間
estació	ステーション
associació	社団
associació	協会
associació	アソシエーション
pintor	画家
menor	マイナー
japó	日本
problemes	問題
objectiu	ゴール
marc	マルク
marc	marc
marc	フレーム
xviii	xviii
national	国民
national	ナショナル
acció	アクション
ocupació	占領
ocupació	職業
mascles	オス
casos	事例
casos	ケース
fonts	ソース
fonts	出典
noves	new
noves	新しい
noves	新規
pont	ブリッジ
imatges	画像
imatges	イメージ
principi	原理
velocitat	速度
velocitat	速度
velocitat	スピード
valor	バリュー
valor	価額
qualitat	品質
qualitat	クオリティ
qualitat	画質
qualitat	quality
professional	プロフェッショナル
referències	参考文献
referències	参照
referències	リファレンス
temple	テンプル
temple	寺院
temple	神殿
vista	表示
vista	見る
vista	ビュー
museum	美術館
museum	博物館
aquí	ここ
energia	エネルギー
arc	アーク
arc	arc
classe	階級
classe	クラス
dinastia	王朝
wheeler	ウィーラー
front	フロント
front	表側
front	前面
prova	テスト
prova	try
prova	試す
prova	トライ
barri	近所
barri	近隣
segles	世紀
recent	最近
monestir	修道院
monestir	僧院
animals	動物
via	via
parlament	議会
parlament	国会
educació	教育
educació	学歴
característiques	機能
característiques	特徴
actor	俳優
influència	影響力
influència	影響
castella	カスティーリャ
viure	ライブ
viure	生きる
accés	アクセス
conté	含む
gent	ピープル
especial	スペシャル
xarxa	ネットワーク
nucli	コア
nucli	core
nucli	原子核
nucli	カーネル
decidir	決める
mesura	測定
mesura	計測
mesura	測定
sala	部屋
sala	ルーム
literatura	文学
literatura	文芸
moyle	moyle
clima	気候
comença	開始
comença	始める
comença	スタート
selecció	選考
selecció	セレクション
selecció	選択
papa	教皇
sentit	センス
sentit	感覚
personal	スタッフ
fotografia	写真
fotografia	撮影
fotografia	写真
khan	ハーン
khan	カーン
domini	ドメイン
domini	自治領
corona	コロナ
aviat	soon
aviat	まもなく
aviat	もうすぐ
fort	強い
fort	濃い
canal	運河
canal	チャネル
canal	チャンネル
canal	海峡
honor	名誉
quantitat	金額
quantitat	数量
girona	ジローナ
secció	セクション
enric	ヘンリー
life	生活
life	生命
life	人生
life	ライフ
acadèmia	アカデミー
cançó	歌曲
cançó	ソング
capacitat	定員
capacitat	容量
normalment	通常
normalment	通常
der	デア
cor	心臓
cor	ハート
noms	名前
noms	名称
sistemes	システム
sistemes	システムズ
disseny	デザイン
disseny	設計
disseny	意匠
pintura	絵画
svg	svg
coll	ネック
senyor	サー
hectàrees	ヘクタール
biblioteca	図書館
biblioteca	ライブラリ
rus	ロシア
genera	生成
formes	フォーム
formes	形態
formes	形状
formes	シェイプ
campanya	キャンペーン
alcalde	町長
alcalde	市長
mes	月間
recerca	研究
recerca	リサーチ
carretera	道路
blackwell	ブラックウェル
relacions	リレーションシップ
relacions	交際
relacions	リレーション
relacions	関係
fusta	木材
fusta	木製
fusta	ウッド
llatí	ラテン語
llatí	ラテン
potser	たぶん
potser	多分
potser	未定
negre	黒い
negre	ブラック
xvi	xvi
paul	ポール
paul	パウル
aigües	ウォーターズ
independència	独立
facey	facey
lleó	ライオン
lleó	獅子
respecte	尊敬
respecte	尊重
respecte	リスペクト
respecte	敬意
propi	own
industrials	工業
etapes	舞台
etapes	ステージ
personatge	文字
personatge	性格
personatge	キャラクター
aire	空気
aire	航空
aire	エア
editorial	出版
editorial	パブリッシャー
editorial	出版社
editorial	社説
petites	小さな
petites	スモール
petites	小さい
unitat	単位
unitat	ユニット
american	アメリカン
atac	攻撃
atac	進撃
extrem	エクストリーム
plana	フラット
diari	新聞紙
diari	新聞
diari	ジャーナル
diari	日記
diari	日記
figura	フィギュア
peces	トラック
tècnica	テクニック
tècnica	技法
diferència	差異
diferència	違い
diferència	差分
lluita	レスリング
lluita	ファイト
orquestra	オーケストラ
òpera	opera
òpera	オペラ
volum	音量
volum	ボリューム
volum	体積
reina	女王
reina	クイーン
argentina	アルゼンチン
argentina	アルゼンチン
peixos	魚類
peixos	フィッシュ
àlbum	アルバム
comercial	コマーシャル
comercial	商用
comercial	商業
exposició	展示
exposició	照射
exposició	被曝
exposició	露出
bandera	フラグ
bandera	国旗
proves	テスト
proves	テスト
equipaments	道具
equipaments	装備
equipaments	機器
equipaments	機材
apartaments	アパート
berlín	ベルリン
nau	船舶
austràlia	オーストラリア
última	最終
última	ラスト
última	最後
james	ジェームス
james	ジェームズ
cançons	ソング
piano	ピアノ
maría	メアリ
maría	メアリー
temes	テーマ
temes	トピック
fets	事実
funcions	関数
economia	経済
matrimoni	結婚
matrimoni	婚姻
independent	独立
independent	インディペンデント
treballs	ジョブ
treballs	求人
idea	アイデア
idea	観念
idea	アイディア
tradició	伝統
federació	連邦
charles	シャルル
actriu	女優
actriu	俳優
inc	inc
mercat	マーケット
mercat	マーケットプレイス
mercat	市場
mercat	マーケット
evitar	避ける
grau	学年
grau	グレード
grau	学位
compte	口座
compte	アカウント
sector	セクター
creat	作成
nit	ナイト
motiu	理由
motiu	理性
ajuda	ヘルプ
condicions	規約
condicions	用語
dur	一生懸命
dur	ハード
dur	難しい
comú	共通
efecte	エフェクト
efecte	効果
americà	アメリカン
paraula	ワード
paraula	言葉
paraula	単語
paraula	word
entitat	エンティティ
entitat	実体
muntanyes	山地
muntanyes	山脈
sanitaris	トイレ
sanitaris	便所
poeta	詩人
poeta	歌人
net	net
net	ネット
problema	問題
propietat	プロパティ
propietat	財産
canvis	変更
composició	合成
composició	構成
freshwater	淡水
frontera	ボーダー
frontera	国境
egipte	エジプト
pocs	少数
conèixer	meet
conèixer	会う
escrit	筆記
edicions	編集
parla	喋る
xvii	xvii
diferent	異なる
escala	スケール
escala	縮尺
escala	目盛
george	ジョージ
permetre	許可
bretanya	ブルターニュ
vuit	eight
vuit	エイト
passat	過去
nombrosos	多数
revolució	revolution
revolució	革命
revolució	レボリューション
coberta	甲板
coberta	デッキ
competició	競技
competició	コンペ
competició	競争
competició	コンペティション
competició	コンテスト
indústria	業界
indústria	産業
arquitectura	アーキテクチャ
arquitectura	建築
peu	フィート
agrícola	農業
locals	ローカル
locals	地元
gen	遺伝子
gen	ジーン
realitat	リアリティ
realitat	現実
aquells	それら
armes	武器
armes	兵器
martí	マルティ
martí	マーティン
martí	マーチン
mica	雲母
seguretat	セキュリティ
seguretat	セキュリティー
seguretat	安全
seguretat	セーフティ
www	www
militars	軍事
militars	軍隊
present	現在
present	present
present	プレゼント
pes	重量
pes	体重
edificis	建物
edificis	建築物
camps	フィールド
camps	フィールズ
autors	作家
autors	著者
autors	作者
festa	パーティ
festa	パーティー
soldats	兵士
comissió	手数料
comissió	コミッション
comissió	委嘱
soviètica	ソビエト
portugal	ポルトガル
exterior	外側
canadà	カナダ
arxiu	書庫
arxiu	アーカイブ
arxiu	ファイル
arribada	到着
màxim	最大
màxim	maximum
àustria	オーストリア
germans	兄弟
germans	ブラザーズ
objectes	オブジェクト
marca	マーク
marca	マルク
moderna	moderna
moderna	モダン
artistes	芸術家
artistes	アーティスト
entitats	エンティティ
fase	フェーズ
fase	位相
amor	ラヴ
amor	ラブ
altitud	高度
ciències	サイエンス
ciències	科学
pis	フロア
darrer	最終
darrer	ラスト
darrer	最後
defunció	デス
hores	時間
cursa	人種
cursa	競走
cursa	レース
doble	ダブル
doble	二重
àsia	アジア
anderson	アンダーソン
península	半島
distància	距離
tarragona	タラゴナ
oscar	オスカー
oscar	オスカル
traducció	翻訳
termes	規約
termes	用語
joves	若い
joves	ヤング
normal	普通
normal	ノーマル
felip	フィリップ
hostatgeria	ホスピス
botiga	ショップ
botiga	店舗
botiga	ストア
richard	リチャード
richard	リヒャルト
tropical	トロピカル
tropical	熱帯
llarga	長い
llarga	ロング
destaca	見どころ
destaca	ハイライト
nombroses	多数
regions	リージョン
regions	地域
taula	テーブル
industrial	工業
element	要素
element	元素
element	エレメント
pàgines	ページ
ferro	アイロン
artista	芸術家
artista	アーティスト
mida	サイズ
secretari	秘書
socials	ソーシャル
objecte	オブジェクト
directament	直接
albert	アルベルト
albert	アルバート
materials	材料
materials	素材
retirar	引き出す
roca	ロック
notes	注記
notes	メモ
notes	備考
notes	ノート
comercials	コマーシャル
comercials	商用
comercials	商業
marina	marina
marina	マリーナ
salvador	サルバドール
usuari	ユーザー
usuari	ユーザ
cort	法廷
cort	コート
cort	裁判所
plata	シルバー
comandant	司令官
paraules	言葉
paraules	単語
temperatura	気温
temperatura	温度
contingut	コンテンツ
contingut	内容
suïssa	スイス
evolució	進化
evolució	evolution
representació	レンダリング
representació	レンダリング
representació	表現
comandament	指揮
comandament	コマンド
vora	エッジ
vora	edge
vora	ボーダー
vora	国境
cantant	シンガー
cantant	歌う
existència	存在
llibertat	freedom
llibertat	自由
llibertat	リバティ
llibertat	自由
plantilla	テンプレート
malaltia	病気
malaltia	疾病
elemental	小学校
rius	河川
michael	ミヒャエル
michael	マイケル
tron	玉座
torneig	トーナメント
ambdós	両方
salut	健康
prou	十分
crítica	批評
crítica	評論
crítica	批判
crítica	批評
oficina	事務局
oficina	事務所
oficina	オフィス
assassinat	殺人
oficials	役員
marine	マリン
xiv	xiv
efectes	エフェクト
efectes	効果
hora	時間
química	化学
estadi	スタジアム
barranc	峡谷
hospital	病院
investigació	研究
investigació	リサーチ
escacs	チェス
protecció	保護
publicació	出版物
publicació	出版
publicació	公表
publicació	ポスト
publicació	投稿
carta	カルタ
carta	手紙
carta	letter
carta	レター
foc	火事
foc	ファイア
foc	火災
grècia	ギリシャ
viatge	旅行
viatge	トリップ
carlos	カルロス
resistència	抵抗
resistència	レジスタンス
garcía	ガルシア
garcía	ガルシア
motor	エンジン
expedició	探検
expedició	遠征
àmbit	フィールド
àmbit	面積
àmbit	領域
àmbit	エリア
àmbit	範囲
àmbit	スコープ
colors	カラー
colors	カラー
sap	sap
constitució	体質
constitució	憲法
recuperar	取得
allà	そこ
mur	ウォール
escoles	学校
escoles	流派
animal	アニマル
animal	動物
ràdio	ラジオ
pierre	ピエール
mètode	方法
mètode	メソッド
memòria	メモリ
memòria	メモリー
memòria	記憶
cara	フェイス
lletres	歌詞
lletres	作詞
quart	クォート
jugadors	選手
jugadors	プレイヤー
cambres	チェンバーズ
cambres	チェンバース
quilòmetres	キロメートル
quilòmetres	マイル
inventari	在庫
inventari	棚卸
martin	マーティン
martin	マーチン
blanca	ブランカ
missió	ミッション
concepte	概念
concepte	コンセプト
polítiques	ポリシー
polítiques	施策
polítiques	方針
rock	ロック
pràctica	練習
anna	アナ
anna	アンナ
setmana	週間
smith	スミス
participació	関与
participació	参加
segueix	フォロー
vii	vii
mena	メナ
futur	フューチャー
futur	未来
futur	将来
individual	個人
individual	個別
ciència	サイエンス
ciència	科学
filosofia	哲学
capità	隊長
capità	キャプテン
bosc	ウッズ
bosc	フォレスト
bosc	森林
fórmula	公式
fórmula	数式
verd	グリーン
verd	緑色
escena	現場
escena	シーン
escena	場面
pressió	気圧
pressió	圧力
inicialment	当初
joseph	ヨセフ
concentració	濃度
classes	クラス
sortida	アウトプット
sortida	出力
sortida	終了
sortida	exit
sortida	出口
thomas	トマス
thomas	トーマス
colònia	ケルン
por	恐怖
por	恐れ
fulles	葉っぱ
règim	政権
medieval	中世
recursos	リソース
recursos	資源
creixement	成長
creixement	発育
establiment	設立
conflicte	競合
conflicte	紛争
conflicte	対立
conflicte	コンフリクト
assemblea	アセンブリ
assemblea	集会
assemblea	組み立て
polítics	政治家
ferran	フェルディナンド
peter	ペーター
peter	peter
peter	ピーター
conseqüència	帰結
catòlica	カトリック
pares	両親
pares	保護者
naturals	自然
naturals	ナチュラル
amic	友人
amic	友だち
amic	フレンド
amic	友達
mont	マウント
irlanda	アイルランド
contacte	コンタクト
louis	ルイス
louis	ルイ
cert	トゥルー
cert	true
cert	本当
bronze	青銅
bronze	ブロンズ
actiu	アクティブ
dalt	二階
revolta	暴動
medicina	医学
abu	アブー
