در	door
برابر	equals
تولید	manufacture
تولید	production
تولید	generate
تپه	hill
تنها	alone
تنها	only
تنها	lonely
علی	ali
شرقی	east
شرقی	oriental
شرقی	eastern
یونسکو	unesco
یونسکو	sites
برخی	some
میان	mian
میان	between
جهان	world
جهان	jahan
جام	cup
ها	huh
ها	hmmm
ارتفاع	altitude
ارتفاع	height
کد	code
کشف	discovered
کشف	discover
کشف	discovery
نشان	badge
حذف	removing
حذف	deleting
حذف	remove
حذف	delete
تلویزیونی	television
غربی	west
غربی	western
گرفته	taken
دوران	periods
دوران	era
شامل	included
شامل	include
شامل	includes
شدن	becoming
شدن	getting
بهترین	best
دولت	state
دولت	government
همراه	mobile
همراه	accompanied
همراه	conjunction
همراه	accompanying
چپ	left
ایتالیا	italia
ایتالیا	italy
ایتالیا	italian
صفحه	page
مجلس	parliament
مجلس	assembly
تحت	under
آغاز	start
آغاز	beginning
آغاز	starting
ویکی	wiki
ویکی	vicky
راه	path
راه	way
کشتی	ships
کشتی	ship
کشتی	wrestling
کشتی	boat
بودند	were
الگو	pattern
توجه	attention
بن	ben
همه	everybody
همه	all
همه	everyone
کوچک	small
کوچک	little
کوچک	minor
ژاپن	japan
رسمی	official
رسمی	formal
اسلام	islam
سپتامبر	september
پرونده	case
پرونده	file
ماه	month
ماه	months
ماه	moon
اوت	august
اوت	aug
هزار	thousand
تابستانی	summer
چون	because
چون	when
آوریل	apr
آوریل	april
تغییر	changing
تغییر	modify
تغییر	change
مجموعه	collection
سیاسی	political
شکل	shape
شکل	form
شکل	figure
شکل	shaped
مارس	march
مارس	mars
درخواست	request
کیلومتر	kilometre
کیلومتر	kilometres
کیلومتر	kilometer
کیلومتر	kilometers
جمله	sentence
گردشگری	tourism
گردشگری	tourist
گردشگری	sightseeing
شهری	urban
شهری	municipal
شهری	city
ممکن	possible
لیگ	league
روسیه	russian
روسیه	russia
منابع	sources
منابع	resources
نخستین	first
شاه	king
شاه	shah
جنوب	southern
جنوب	south
طور	mount
طور	tur
تشکیل	formed
تشکیل	formation
فوت	foot
فوت	foote
اکتبر	october
ژوئن	june
چه	what
امکان	possible
امکان	possibility
نویسندگان	authors
سر	sar
سر	head
سر	heads
حزب	party
ما	our
فرهنگ	culture
برندگان	winners
دیگری	another
قابل	removable
بدون	without
خانه	house
خانه	home
دسامبر	december
موارد	items
موارد	cases
هند	india
آلبوم	album
آزاد	free
چاپ	print
چاپ	printing
علمی	science
علمی	scientific
نوامبر	november
نوامبر	nov
آسیا	asian
شمال	north
شمال	northern
پایان	end
پایان	ending
علوم	science
علوم	sciences
جان	john
سید	sid
کالیفرنیا	california
قرن	century
بازیگر	actress
بازیگر	actor
صنایع	industries
صنایع	industry
گونه	cheek
گونه	species
کانادا	canada
کانادا	canadian
اسپانیا	spain
اسپانیا	spanish
زمین	earth
رئیس	boss
برزیل	brazil
برزیل	brazilian
سبک	light
سبک	style
بالا	top
بالا	bala
جدید	new
تصویر	image
غیر	non
حضور	attendance
حضور	presence
وارد	ward
عضو	member
عضو	donation
میراث	legacy
میراث	heritage
زنان	women
نظامی	military
قمری	lunar
آذربایجان	azerbaijan
جای	place
جای	jai
هیچ	any
چین	chin
چین	china
سیستم	system
ظاهر	appearances
ظاهر	appearance
ظاهر	zahir
ظاهر	appear
ادامه	continue
ادامه	continued
درجه	grade
درجه	degrees
درجه	rank
درجه	degree
انتخاب	choosing
انتخاب	choose
انتخاب	select
انتخاب	choice
موجود	available
موجود	existing
دستی	manual
فقط	just
اعلام	declared
اعلام	declaration
اعلام	announce
نسبت	ratio
اعضای	members
خراسان	khorasan
مسابقات	tournament
تلفن	phone
تلفن	telephone
داستان	story
داستان	stories
سوم	iii
سوم	third
خط	line
قانون	law
قانون	rule
درگذشت	died
علت	reason
علت	cause
مهم	important
منبع	source
منبع	resource
میلیون	million
کمک	help
جهت	directions
جهت	direction
جهت	orientation
هوایی	aerial
هوایی	air
حتی	even
نمایش	show
آمریکای	america
ناحیه	region
ناحیه	district
ناحیه	area
طراحی	design
طراحی	designing
آموزش	teaching
آموزش	training
آموزش	education
قلعه	stronghold
قلعه	castle
قلعه	fortress
ویرایش	edit
ویرایش	editing
حکومت	government
نمایندگان	deputies
نمایندگان	representatives
نمایندگان	delegates
بازدید	visited
بازدید	review
بازدید	visit
بازدید	visits
بازدید	visiting
شیمیایی	chemical
شیمیایی	chemicals
مساحت	area
ادبیات	literature
موضوع	topic
موضوع	subject
شبکه	grid
شبکه	networking
شبکه	network
برنامه	app
برنامه	program
برنامه	schedule
برنامه	programme
کاربران	users
تولد	birthdays
تولد	birthday
تولد	birth
تبدیل	convert
تبدیل	conversion
تبدیل	transform
تبدیل	transformation
دریایی	marine
سن	sen
سن	age
سن	seine
سن	san
سن	saint
عربی	arabi
عربی	arabic
عربی	arabian
روش	roche
روش	method
بازیکن	player
بازیکن	players
رفته	gone
بودن	being
نتیجه	outcome
نتیجه	results
نتیجه	result
نتیجه	conclusion
انقلاب	revolution
تگزاس	texas
عراق	iraq
شروع	start
شروع	starting
هنر	arts
هنر	art
زمینه	background
قسمت	part
قسمت	episode
بررسی	checking
بررسی	check
مدیر	manager
مدیر	administrator
مدیر	principal
باز	open
باز	back
باز	unlocked
ترکیه	turkey
ترکیه	turkish
مدال	medal
مدال	medals
حقوق	salary
حقوق	law
حقوق	rights
دی	dey
عمومی	generic
عمومی	public
عمومی	general
حسین	hossein
حسین	hussein
حسین	hussain
ترجمه	translating
ترجمه	translation
ترجمه	translate
دقیقه	minutes
دقیقه	minute
رنگ	color
رنگ	colour
چاه	chah
افزایش	increase
افزایش	increasing
افزایش	increased
طبیعی	natural
طبیعی	normal
معروف	famous
مدیریت	manage
مدیریت	managing
مدیریت	management
گل	gol
گل	flowers
گل	flower
گل	goal
انتشار	diffusion
انتشار	publishing
انتشار	publish
انتشار	propagation
انتشار	emissions
ایشان	they
نیاز	need
نیاز	needed
نیاز	needs
نیاز	required
توضیح	comment
ترکیب	blend
ترکیب	combine
ترکیب	composition
ترکیب	combination
ترکیب	compound
دریافت	receiving
دریافت	receive
دریافت	reception
رشته	string
رشته	thread
کننده	performer
موافق	agreed
موافق	agree
هنری	henry
مواد	drugs
مواد	material
مواد	materials
درباره	about
کارگردانی	directed
کارگردانی	directing
استرالیا	australian
اجتماعی	social
بانی	bonnie
جریان	current
جریان	streaming
جریان	flow
جریان	stream
طریق	via
نویسنده	writer
نویسنده	author
ژانویه	january
کنار	aside
کنار	side
انرژی	energy
انتخابات	electoral
انتخابات	election
انتخابات	elections
حسن	hasan
حسن	hassan
ملیت	nationality
مه	may
مه	mah
مه	fog
مه	mist
کسی	someone
ثانیه	seconds
ثانیه	second
کل	total
کل	whole
کل	kal
اصفهان	isfahan
خان	khan
دکتر	doctor
انجمن	council
انجمن	society
انجمن	fraternity
انجمن	community
انجمن	association
غرب	west
توسعه	development
توسعه	developing
فصل	chapter
فصل	season
معمولاً	normally
رسید	reached
رسید	receipt
رسید	arrived
ژوئیه	july
فارس	fares
فارس	fars
شوروی	soviets
شوروی	soviet
افغانستان	afghanistan
ورزش	gym
ورزش	sport
ورزش	exercise
ورزش	sports
معماری	architecture
معماری	architectural
باند	bond
آنجا	there
پرندگان	birds
آخرین	last
آخرین	final
آخرین	latest
پزشکی	medicine
پزشکی	medical
فرهنگی	culture
فرهنگی	cultural
تلویزیون	television
دنیا	world
دنیا	dunia
خوانندگان	singers
خوانندگان	reader
خوانندگان	readers
جغرافیای	geography
حالت	state
حالت	mode
حالت	mood
کوه	mountain
کوه	mount
کوه	kuh
مقالات	articles
مقالات	essays
مدیران	executives
عمل	action
عمل	operation
عمل	act
کره	butter
کره	korean
کره	korea
انتقال	transmission
انتقال	transfer
انتقال	transition
انتقال	transference
انتقال	transport
فوریه	urgent
فوریه	february
فوریه	fourier
فوریه	feb
ارائه	presentation
رود	river
رود	rod
رود	rud
سیاست	policy
سیاست	politics
سیاست	diplomacy
فرانسوی	french
وطن	home
وطن	migration
برتر	exalted
برتر	superior
نزدیک	almost
نزدیک	close
نزدیک	near
نزدیک	nearby
دلار	dollar
داخلی	interior
داخلی	internal
کاهش	reduce
کاهش	reduction
کاهش	decrease
احمد	ahmed
احمد	ahmad
ده	deh
ده	ten
ارتش	military
ارتش	army
سایر	sawyer
مشخص	specific
مشخص	highlight
مشخص	highlighted
گفت	said
حاضر	present
اسرائیل	israel
اسرائیل	israeli
انسان	human
انسان	man
مسجد	masjid
مسجد	mosque
مثل	like
شهرها	towns
شهرها	cities
سیاه	black
قدرت	strength
قدرت	power
بنا	structured
نسخه	version
نسخه	prescription
کم	little
کم	kam
کم	cam
کم	low
خانواده	families
خانواده	family
میدان	square
ویژه	special
نیروهای	forces
حوزه	field
حوزه	precinct
حمله	attack
حمله	assault
ناسا	nasa
جزیره	island
وزارت	department
وزارت	ministry
ساختمان	building
ساختمان	construction
درام	drama
درام	drum
درصد	percentage
درصد	percent
مهندسی	engineering
برنده	win
برنده	winner
علم	science
علم	knowledge
وقتی	when
آبی	blue
اقتصاد	economics
اقتصاد	economy
ورزشی	athletic
ورزشی	sporting
ورزشی	sport
ورزشی	sports
جامعه	society
جامعه	community
بازار	marketplace
بازار	bazaar
بازار	market
معرفی	introduction
معرفی	introducing
معرفی	introduce
معرفی	introduced
مصر	egypt
مصر	egyptian
متن	text
متن	context
متن	source
سرعت	velocity
سرعت	speed
طرف	side
آمد	arrived
آمد	came
مطرح	poses
دهد	grants
سابق	former
پسر	boy
پسر	son
دین	religion
دین	dean
کشت	cultivate
رضا	reza
رضا	rida
سایت	website
سایت	site
آسمانی	celestial
خیلی	very
خیلی	pretty
خورشیدی	solar
سفید	white
جشنواره	festival
بهتر	better
بهتر	best
فرد	individual
فرد	odd
فرد	fred
لندن	london
لندن	landon
رفت	gone
بخشی	empowering
سری	series
سری	sri
سری	serie
باستان	ancient
باستان	antiquity
اسکار	oscar
اسکار	oskar
اکنون	now
کلی	kelly
کلی	clay
هیئت	delegation
آلمانی	german
محلی	locally
محلی	regional
محلی	local
معنی	meaning
دادن	giving
شرق	east
شرق	eastern
دیده	seen
دیده	saw
شیخ	sheikh
شیخ	shaykh
شیخ	sheik
برگزیده	chosen
برگزیده	selected
برگزیده	excerpt
کنترل	control
انواع	types
درست	true
سنگ	sang
سنگ	stone
استاد	master
موقعیت	position
موقعیت	situation
امپراتوری	empire
امپراتوری	imperial
بیماری	illness
بیماری	disease
بیماری	sickness
عمق	depth
کلاس	classes
کلاس	class
آنان	them
مدرسه	school
کسب	earn
کسب	acquiring
کسب	business
حرکت	move
حرکت	moving
جغرافیایی	geographic
جغرافیایی	geographical
مشخصات	specifications
مشخصات	characteristics
مشخصات	specs
مشخصات	description
همکاری	collaboration
همکاری	partnership
همکاری	cooperation
دبی	dubai
دبی	debbie
کوتاه	short
روابط	relationships
روابط	relations
اجرا	performance
اجرا	execute
اجرا	execution
اجرا	run
اجرا	running
وزیر	minister
خواننده	singer
خواننده	reader
پیشنهاد	suggested
پیشنهاد	offering
پیشنهاد	offer
پیشنهاد	suggest
پیشنهاد	suggestion
اتحادیه	union
خوب	good
خوب	well
موفق	successful
موفق	success
شخصی	personal
شخصی	individual
شخصی	private
پایین	down
پایین	bottom
پدر	dad
پدر	father
حق	truth
خاص	specific
خاص	special
گذشته	past
کیفیت	quality
ازدواج	marry
ازدواج	married
ازدواج	marriage
ازدواج	wedding
خارجی	external
خارجی	exterior
خارجی	foreign
هنوز	still
انتشارات	publishers
میزان	rated
میزان	balance
بالاتر	higher
تر	ter
مشغول	busy
اقتصادی	economic
فعال	active
اینجا	here
پادشاهی	kingdom
کمربند	belts
کمربند	belt
واحد	division
واحد	unit
چندین	dozens
چندین	several
چندین	multiple
اندازه	sizes
اندازه	size
خیابان	street
خیابان	streets
عالی	perfect
عالی	great
عالی	wonderful
عالی	awesome
عالی	excellent
نگاره	image
نگاره	graphic
هدف	goal
هدف	target
هنرپیشه	actor
قهرمانی	championship
دستگاه	device
دستگاه	machine
طرح	sketch
طرح	design
میرزا	mirza
پنج	five
برد	win
تئاتر	theater
تئاتر	theatre
پل	bridge
پل	paul
ترابری	transport
داخل	inside
ابتدا	first
ارتباط	communication
ارتباط	connection
ارتباط	contact
ارتباط	relation
پخش	play
پخش	broadcast
پخش	spread
پخش	playing
امام	imam
مطلق	absolute
اراضی	lands
مشکل	problem
مشکل	trouble
نفت	oil
نفت	petroleum
شرایط	terms
شرایط	circumstance
شرایط	conditions
شرایط	condition
شرایط	circumstances
قاجار	qajar
کارگردان	director
دانشکده	college
دختر	girl
دختر	daughter
نور	light
نور	nur
نور	noor
اجرای	execution
یونان	greek
لازم	needed
لازم	required
لازم	necessary
سازی	instrumental
سازی	escalation
مرتبط	associated
مرتبط	related
مرتبط	linking
شکست	fail
شکست	failure
شکست	defeat
رشد	growing
رشد	growth
رشد	grow
گزارش	report
پرداخت	paying
پرداخت	pay
پرداخت	payment
پرداخت	paid
پرداخت	rendering
هلند	netherlands
هلند	holland
هلند	dutch
مالی	molly
مالی	financial
مالی	finance
مالی	mali
زیاد	much
اضافه	extra
ورزشگاه	gym
ورزشگاه	estadio
ورزشگاه	stadium
درون	inside
جنسی	sexual
جنسی	sex
امور	affairs
امور	affair
تأسیس	establishment
تأسیس	establishing
مهدی	mahdi
مهدی	mehdi
شعر	poem
شعر	poetry
شعر	lyrics
شعر	poems
شرح	explanation
شرح	detailing
شرح	description
فناوری	tech
فناوری	technology
ترتیب	arranged
ترتیب	order
مادر	mom
مادر	mother
کرمان	kerman
خانوار	households
خانوار	household
وضعیت	status
وضعیت	situation
وضعیت	state
نمونه	sample
نمونه	instance
نمونه	specimen
نمونه	example
نامزد	fiancé
نامزد	engaged
نامزد	candidate
لیتر	litre
لیتر	litter
لیتر	liter
لیتر	litres
لاتین	latin
لاتین	latino
مثال	instance
مثال	example
سوئد	sweden
مدل	model
متری	meters
دوستان	friends
مسیر	path
مسیر	route
مسیر	trajectory
دسته	category
دسته	bunch
دسته	batch
دانش	knowledge
ترانه	song
کشته	killed
چرا	why
پایگاه	base
مکان	place
مکان	location
فکر	thinking
فکر	think
اولیه	primary
گسترش	expanding
گسترش	expansion
گسترش	expand
شناگران	swimmers
عدم	non
عدم	lack
عدد	number
عدد	numbers
تعریف	definition
تعریف	compliment
تعریف	define
نو	new
خدمات	services
خدمات	service
همسر	spouse
همسر	husband
همسر	wife
فرزند	offspring
فرزند	child
پهلوی	pahlavi
مصرف	consumption
لهستان	poland
تقسیم	division
تقسیم	divided
تقسیم	divide
روزنامه	newspaper
تن	tuna
تن	ton
تن	tons
تن	tan
اتحاد	union
اتحاد	unity
اتحاد	alliance
اتحاد	solidarity
نظریه	theory
نظریه	theories
خاک	dust
خاک	soil
خاک	dirt
مخالف	disagree
مخالف	opposition
مخالف	opposite
تبریز	tabriz
میله	bar
محسوب	counted
کلیسای	chapel
کلیسای	church
کشاورزی	agricultural
کشاورزی	farming
کشاورزی	agriculture
آباد	visit
دوباره	again
مشهور	famous
بعدی	next
مستقل	independent
مستقل	independently
قدیمی	vintage
قدیمی	old
شب	nights
شب	night
مالکان	landowners
ویدئویی	video
شیمی	chemistry
فروش	sell
فروش	selling
فروش	reseller
فروش	sale
فروش	sales
بیست	twenty
رتبه	rank
جانوران	beasts
جانوران	animals
جانوران	animal
آیووا	iowa
راک	rak
راک	rock
پارک	park
کاربرد	usage
کاربرد	application
مناسب	appropriate
مناسب	suitable
مناسب	fitness
نخست	prime
آزادی	freedom
آزادی	free
رای	vote
رای	votes
رای	voting
رای	voted
رای	rai
اطراف	surrounding
اطراف	around
کمدی	comic
کمدی	comedy
موتور	engine
موتور	bike
موتور	motor
بسته	bundle
بسته	closed
بسته	package
راست	true
فاصله	distance
فاصله	interval
فاصله	space
سنت	tradition
سنت	cent
اغلب	often
فضای	space
چشم	eyes
چشم	eye
مختصات	coordinate
مختصات	coordinates
عامل	operating
عامل	factor
چهارم	fourth
متولد	born
قوانین	rules
قوانین	laws
کمتر	less
صنعتی	industrial
صنعت	industry
گیاهان	plants
گیاهان	herbs
کشوری	country
آرامگاه	tomb
آرامگاه	mausoleum
پشت	behind
پشت	back
سینما	movies
سینما	cinema
پروژه	project
حمایت	support
باغ	bagh
باغ	garden
باغ	gardens
واژه	word
واژه	words
بدن	body
شاید	maybe
مقدار	amount
محمود	mahmood
محمود	mahmoud
محمود	mahmud
جرم	felony
جرم	mass
جرم	crime
کاری	work
مردان	men
عصر	age
عصر	evening
عصر	afternoon
سرزمین	lands
سرزمین	land
موجب	revealing
موجب	causes
سوریه	syria
سوریه	syrian
بزرگترین	greatest
نامه	mail
نامه	letter
موزه	museum
پادشاه	king
عبارت	phrase
عبارت	expression
بازگشت	revert
بازگشت	return
بازگشت	returned
استاندارد	standard
بانک	banks
بانک	bank
مکزیک	mexican
فلسفه	philosophy
دولتی	government
عملیات	operations
عملیات	operation
نقل	quote
نقل	derived
ترک	quit
ترک	turk
ترک	türk
ترک	leaving
نشر	release
نشر	emission
نشر	publishing
سفر	travel
سفر	journey
سفر	trip
سفر	traveling
پاریس	paris
توصیف	describe
توصیف	description
آسفالت	asphalt
معنای	meaning
رابطه	relationships
رابطه	relation
رابطه	relationship
مراسم	ceremony
دریای	mare
دریای	sea
اتریش	austrian
اتریش	austria
توان	power
عباس	abbas
پر	par
پر	full
پر	feathers
پر	per
پر	feather
ربات	bot
ربات	robot
دستور	order
دستور	orders
تیره	dark
دوست	liked
دوست	love
دوست	friend
هفت	haft
حل	resolve
حل	solves
حل	solving
حل	solved
حل	solve
تصمیم	decision
تصمیم	decisions
تصمیم	decide
تلاش	attempted
تلاش	trying
تلاش	effort
تلاش	attempt
هزاره	hazara
هزاره	millennium
دفتر	office
ماده	female
بدست	acquired
آموزشی	educational
آموزشی	training
بلژیک	belgium
بلژیک	belgian
کرمانشاه	kermanshah
ارزش	worth
اصل	sums
اصل	jus
اصل	principle
مربع	square
شریک	partners
شریک	partner
تعیین	assess
تعیین	determine
مسابقه	race
مسابقه	racing
مسابقه	match
مسابقه	competition
مسابقه	contest
گرم	hot
گرم	warm
گرم	heated
پاسخ	answer
پاسخ	reply
پاسخ	response
ورزشکاران	athletes
درآمد	revenue
درآمد	earnings
درآمد	income
بازبینی	review
بازبینی	revisions
بازبینی	revision
مرحله	phase
مرحله	step
مرحله	stage
نبرد	battle
نبرد	combat
شهرت	reputation
شهرت	fame
سبز	green
حد	limit
محصولات	products
اداره	department
اداره	office
وب	web
مذهبی	religious
هنرمندان	artists
آرژانتین	argentina
آرژانتین	argentine
شیراز	shiraz
اش	ash
فرود	down
فرود	landing
تجاری	commercial
اصلاح	corrections
اصلاح	correction
اصلاح	reform
اقدام	action
خون	blood
کلمبیا	columbia
کلمبیا	colombian
خوبی	good
خوبی	nice
مشاهده	observation
مشاهده	viewing
یهودی	jewish
یهودی	jew
یهودی	jews
جاده	road
جاده	european
روم	roman
روم	rome
استقلال	esteghlal
استقلال	independence
وبگاه	website
خلیج	gulf
خلیج	bay
رودخانه	river
جیمز	james
آهنگ	tune
آهنگ	song
بزرگی	big
بزرگی	magnitude
بزرگی	huge
گرفتن	taking
گرفتن	catch
نظام	nizam
فیزیک	physics
عکس	picture
عکس	photograph
عکس	photo
عکس	pic
عکس	photos
عکس	pictures
ملل	nations
جی	jay
ان	ann
جلد	cover
وسیله	device
همگانی	communal
همگانی	public
پاپ	pop
پاپ	pope
قم	qom
قم	monorail
نیوجرسی	jersey
ابن	eben
ابن	ibn
تیتر	headline
تیتر	headlines
متفاوت	different
متفاوت	vary
مجله	magazine
مجله	journal
حساب	account
پاکستان	pakistan
ماساچوست	massachusetts
تو	you
دفاع	defence
دفاع	defense
دانشنامه	encyclopedia
ایکائو	icao
انسانی	human
والیبال	volleyball
مؤسسه	institute
مؤسسه	institution
شخصیت	character
شخصیت	personality
شخص	person
مایکل	michael
پستانداران	mammals
پستانداران	mammal
درمان	treating
درمان	healing
درمان	therapy
درمان	treatment
درمان	treat
کودکان	children
کودکان	child
میانه	moderate
اساسی	fundamental
شش	six
ضد	anti
قهرمان	champ
قهرمان	hero
قهرمان	champion
ساختار	structure
محله	neighborhood
یهودیان	jewish
یهودیان	jews
باستانی	ancient
فشار	press
فشار	pressure
فشار	push
محصول	product
مسئله	problem
مسئله	issue
گاهی	sometimes
گاز	bite
گاز	gas
جمع	collect
جمع	gather
جمع	plural
جمع	assemble
فیلمی	movie
رخ	occurs
جنبش	movement
تحصیل	study
شیعه	shia
سوئیس	switzerland
سوئیس	swiss
مشهد	mashhad
اهمیت	importance
جایی	place
ارشد	senior
دیوید	david
کاربردی	applied
کاربردی	application
کاربردی	applicable
تابع	function
نیمه	semi
عمر	omer
عمر	umar
عمر	omar
مهر	stamp
مهر	seals
مهر	mehr
مهر	sealed
مهر	seal
جدول	table
اجازه	permit
اجازه	permission
شاعران	poets
امیر	emir
امیر	amir
ویلیام	william
عرضه	presented
عرضه	exposed
فضایی	alien
فضایی	spatial
فضایی	space
کارهای	jobs
سنای	senate
دار	dar
وزن	weight
تقریباً	almost
قرآن	quran
قرآن	koran
طلایی	golden
طلایی	gold
ستاره	star
سیستان	sistan
سنتی	traditional
تصویب	approval
پرورش	breeding
پرورش	nurture
بهمن	avalanche
بهمن	bahman
طلا	gold
داشتن	having
دره	valley
پرتغال	portuguese
عربستان	arabia
عربستان	arabian
عربستان	saudi
هفته	week
هفته	weeks
سیتی	city
قرمز	red
ثابت	steady
ثابت	fixed
ثابت	constant
ثابت	proven
متحد	united
متحد	unite
متحد	allied
خبر	news
ورود	arrival
ورود	entering
ورود	entry
برجسته	prominent
برجسته	distinguished
برجسته	outstanding
میلیارد	billion
میلیارد	billions
قبلی	previous
نقطه	dots
نقطه	spot
نقطه	point
حفظ	maintain
حفظ	preserving
حفظ	maintaining
مشترک	common
آتش	fire
بلوچستان	balochistan
گاه	folding
گاه	gah
زیست	biology
فنی	technical
فنی	fanny
چشمه	spa
چشمه	fountain
چشمه	springs
تقسیمات	divisions
ایلینوی	illinois
پوشش	cover
پوشش	coverage
پوشش	covering
سلطنتی	royal
سلطنتی	imperial
فراهم	provide
زیردریایی	submarine
کتابخانه	library
تشخیص	detection
تشخیص	diagnose
تشخیص	detect
تشخیص	diagnosis
درخت	tree
درخت	trees
نزدیکی	near
تأثیر	influence
تأثیر	effect
عرض	width
دید	saw
دید	visibility
دید	vision
خدمت	served
خدمت	serving
خدمت	serve
خدمت	service
داستانی	story
بعدها	later
ایرلند	irish
ایرلند	ireland
پرواز	fly
پرواز	flying
پرواز	flight
رمان	novel
رمان	novels
حاصل	product
حاصل	result
ادبی	literary
خرد	shattered
خرد	intellect
آسیایی	asiatic
آسیایی	asian
بنیاد	foundation
الله	allah
الله	god
کشورها	countries
خدا	god
شهید	shahid
شهید	martyr
شهید	shaheed
رهبری	leading
رهبری	leadership
بریتانیایی	british
تحقیقات	investigation
تحقیقات	research
کلاسیک	classical
کلاسیک	classic
زندان	jail
زندان	prison
سلطان	sultan
خوزستان	khuzestan
هوا	weather
هوا	air
برق	electricity
برق	electrical
برق	lightning
جزایر	islands
خورشید	sun
نقاشی	paint
نقاشی	painting
نقاشی	drawing
معتبر	valid
پایتخت	capital
تاسیس	establishment
تاسیس	establishing
شاعر	poet
تیر	tir
تیر	arrow
مطالعه	studying
مطالعه	study
قتل	murder
رادیو	radio
بومی	aboriginal
بومی	indigenous
بومی	native
نقشه	map
نقشه	plan
تغییرات	variations
تغییرات	changes
امروز	today
بلند	high
بلند	loud
خودرو	automobile
خودرو	automotive
خودرو	car
خودرو	vehicle
ایتالیایی	italian
