que	که
només	تنها
només	فقط
regió	منطقه
regió	ناحیه
regió	استان
regió	منطقۀ
temps	زمان
temps	تایم
temps	time
empreses	شرکتها
empreses	شرکتهای
empreses	احزاب
troba	یافتن
grup	گروهبندی
grup	گروپ
grup	گروه
admin	سرپرست
famílies	خانواده
frança	فرانس
frança	فرانسه
fills	کودکان
fills	فرزندان
fills	اطفال
rei	پادشاه
rei	کینگ
rei	شاه
francès	فرنچ
francès	فرانسه
francès	فرانسوی
nombre	عدد
nombre	شمارۀ
nombre	شماره
tots	همه
edició	تدوین
edició	ویرایش
edició	نشر
edició	انتشار
isbn	isbn
renda	اجاره
renda	کرایه
partit	مهمانی
partit	پارتی
partit	مهمونی
partit	حزب
partit	جشن
alguns	بعضیها
alguns	برخی
aquests	اینها
aquests	اینا
fill	پسر
nou	تازه
nou	نو
nou	جدید
nou	نیو
març	مارس
març	پیشروی
març	راهپیمایی
setembre	september
setembre	سپتامبر
principal	main
principal	اصلی
principal	ماین
menys	کمتر
menys	less
color	رنگ
color	رنگها
color	رنگ
món	جهان
món	دنیا
món	جهانی
octubre	اکتبر
octubre	october
empresa	گروهان
empresa	شرکت
empresa	company
empresa	کمپانی
abans	پیش
edat	عصر
edat	age
edat	سنی
edat	سن
web	تار
web	وب
web	وبی
jpg	jpg
dins	داخل
dins	درون
dins	درونت
església	کلیسا
església	چرچ
església	کلیسای
maig	می
maig	مه
maig	تا
terme	ترمه
casa	خانه
història	داستان
història	داستانی
història	قصه
història	تاریخچه
història	تاریخ
país	کانتری
país	کشوری
país	کشور
país	مملکت
país	ییلاق
segona	دوم
segona	ثانیه
segona	دومی
joan	جان
joan	یوحنا
joan	جوآن
joan	ژان
joan	جوان
joan	جون
final	پایان
govern	دولتی
govern	حکومت
govern	دولت
est	شرق
est	شرقی
est	est
vida	زندگى
vida	زندگی
poder	قدرت
poder	پاور
poder	توان
poder	power
poder	قدرتش
totes	همه
gener	ژانویه
tipus	تیپ
tipus	نوع
tipus	تایپ
habitatge	مسکن
juny	ژوئن
juny	june
diferents	متفاوت
parelles	زوجهای
parelles	جفت
diversos	چندین
català	کاتالان
fitxa	ورقه
fitxa	برگه
insee	insee
oest	وست
oest	باختر
oest	غرب
oest	غربی
desembre	دسامبر
què	چی
què	چه
san	san
san	سن
san	سان
nacional	نشنال
nacional	ملی
nacional	ناسیونال
abril	اپریل
abril	آوریل
major	عمده
major	ماژور
major	سرگرد
agost	آگوست
agost	آگست
agost	اوت
vivint	living
vivint	وزندگی
vivint	زندگی
poble	روستای
poble	دهکده
poble	ویلیج
poble	روستا
centre	سنتر
centre	مرکزش
centre	مرکز
centre	سنتر
centre	مرکز
perquè	چون
aquestes	اینها
aquestes	اینا
riu	ریور
riu	رود
riu	رودخانه
disc	دیسک
mostra	نمونه
mostra	نمایش
novembre	نوامبر
millor	بهترین
millor	بهتر
millor	best
espanya	اسپانیای
espanya	اسپانیا
sistema	سامانه
sistema	سیستم
santa	سانتا
santa	بابانوئل
santa	santa
juliol	ژوئیه
juliol	جولای
diverses	چندین
total	مجموع
total	کلا
total	کل
universitat	دانشگاه
universitat	qom
dia	روز
dia	روزی
mitjà	متوسط
data	تاریخ
world	جهان
world	دنیا
world	جهانی
departament	وزارت
departament	اداره
departament	بخش
construcció	ساخت
construcció	سازندگی
construcció	ساختمان
vol	پروازی
vol	پرواز
premi	جایزه
premi	جایزه
exemple	مثلی
exemple	مثال
exemple	نمونه
febrer	فوریه
escola	مدرسه
escola	مکتب
cinc	پنج
cinc	فایو
espècie	گونه
espècie	گونههای
principals	main
principals	اصلی
principals	ماین
madrid	مادرید
font	مبدأ
font	متن
font	منبع
zona	منطقه
zona	زون
los	los
los	لوس
los	لس
grans	بزرگ
grans	درشت
banda	band
banda	بند
banda	گروه
banda	باندا
central	مرکزی
central	سنترال
central	مرکز
província	ولایت
província	استان
oficial	افسر
oficial	سرکار
superfície	سطح
superfície	سطحی
maria	ماریا
molts	بسیار
cens	سرشماری
equip	تیم
equip	تیمی
amèrica	آمریکای
amèrica	امریکا
amèrica	آمریکا
ara	آرا
ara	آرای
ara	اکنون
ara	الان
ara	حالا
qui	که
dir	dir
punt	نکته
punt	نقطه
punt	پوینت
iii	iii
iii	سوم
algunes	بعضیها
algunes	برخی
regne	فرمانروایی
regne	پادشاهی
john	جان
john	یوحنا
cas	پرونده
cas	کیس
cas	مورد
unitats	واحدها
causa	علت
causa	دلیل
causa	cause
activitats	فعالیتها
article	مطلب
article	مقالۀ
article	مقاله
exèrcit	لشگر
exèrcit	ارتش
exèrcit	ارتشی
exèrcit	سپاه
exèrcit	لشکر
música	موسیقی
música	موزیک
aigua	آب
increment	افزایش
llavors	پس
llavors	بذر
llavors	دانه
conegut	دانسته
conegut	معلوم
conegut	اشنا
terra	زمین
gray	خاکستری
saint	قدیس
saint	سن
època	دوره
barra	بارا
barra	bar
barra	میله
barra	بار
sèrie	سری
art	art
art	هنر
art	آرت
club	باشگاه
club	چماق
club	کلاب
club	کلوب
club	کلوپ
càrrec	اتهام
càrrec	شارژ
etapa	مرحله
etapa	صحنه
etapa	استیج
república	جمهوری
parís	paris
parís	پاریسی
parís	پاریس
ordre	فرمان
ordre	نظم
ordre	فرمان
ordre	دستور
ordre	سفارش
ordre	ترتیب
donar	بده
ell	او
llista	فهرست
important	مهمند
important	مهم
segon	دوم
segon	ثانیه
segon	دومی
europa	اروپای
europa	اروپا
servei	خدمت
servei	سرویس
servei	خدمات
gridcolor	gridcolor
serveis	خدمات
morir	بمیرم
morir	بمیرد
morir	بمیر
alemanya	آلمان
piràmide	هرم
piràmide	هرمی
piràmide	اهرام
lightgrey	lightgrey
darkgrey	darkgrey
sfondo	sfondo
antic	پیر
antic	قدیمی
antic	قدمت
antic	کهنه
antic	antic
plaça	مربع
plaça	میدان
plaça	پلازا
comtat	شهرستان
comtat	کانتی
pare	پدری
pare	پدر
pare	والدین
informació	اطلاعات
informació	معلومات
mar	دریا
mar	دریای
mar	بحر
actual	جاری
actual	جریان
serie	سری
castell	قصر
castell	کاستل
castell	کستل
castell	قلعه
castell	کسل
york	یورک
països	کشورها
moment	لحظه
moment	گشتاور
anglès	انگلیسی
anglès	english
tal	تل
tal	تال
illa	آیلند
illa	جزیره
període	دوره
període	دورهای
període	پریود
període	دورۀ
territori	قلمروی
territori	قلمرو
londres	لندن
londres	london
internacional	اینترنشنال
internacional	بینالمللی
internacional	جهانی
premis	جوایز
premis	جوایز
josep	جوزپ
josep	یوسف
josep	یوزف
josep	ژوزف
josep	جوزف
center	سنتر
center	مرکزش
center	مرکز
museu	موزه
districte	منطقه
districte	ناحیه
districte	بخش
pàgina	صفحۀ
pàgina	صفحه
dies	روزها
dies	روزگار
dies	روزهایی
dies	روزای
dies	روزهای
havien	had
camp	فیلد
camp	حوزه
camp	اردوگاه
camp	اردو
camp	کمپ
llengua	زبون
llengua	زبان
llengua	زبان
base	پایه
base	مبنا
base	پایگاه
base	پایه
llarg	طولانی
llarg	لانگ
llarg	دراز
capital	پایتخت
capital	سرمایه
alt	والا
alt	رفیع
alt	بلند
alt	alt
alt	الت
alt	آلت
diagrama	نمودار
diagrama	نمودار
diagrama	چارت
edifici	ساختن
edifici	ساختمانی
edifici	ساختمان
línia	خط
política	سیاست
política	سیاست
metres	متری
metres	متر
metres	متر
finalment	سرانجام
finalment	بالاخره
finalment	بلاخره
francisco	فرانسیسکو
francisco	فرانچسکو
costat	کنار
costat	پهلو
costat	طرف
planta	گیاهی
planta	نیروگاه
planta	پلنت
planta	گیاه
gènere	ژانر
gènere	جنسیتی
gènere	جنسیت
mateixa	همون
vegades	زمانهای
vegades	times
vegades	دفعات
vegades	تایمز
majoria	اکثریت
natural	طبیعی
natural	natural
unió	یونیون
unió	اتحادیه
unió	اتحاد
tard	دیر
aconseguir	شو
veure	see
veure	دیدن
director	director
director	کارگردان
força	قوت
força	نیرو
força	قدرت
força	استحکام
força	زور
força	اجباری
força	نیرو
força	اجبار
codi	کد
distribució	توزیع
origen	خاستگاه
origen	مبدأ
origen	منشأ
origen	مبدا
persona	شخص
cos	بدن
cos	بدنی
cos	بدنه
cos	جسم
cos	body
primers	اول
primers	ابتدا
primers	نخستین
espècies	گونه
espècies	گونههای
william	ویلیام
batalla	رزم
batalla	کارزار
batalla	بتل
batalla	نبرد
sol	آفتاب
sol	خورشید
sol	سون
sol	سان
suport	پشتیبان
suport	پشتیبانی
suport	حمایت
itàlia	ایتالیا
fiscals	دادستان
comarca	شایر
pere	پتر
pere	پیتر
pere	پطرس
top	بالا
top	top
top	تاپ
top	اوج
top	فاعل
califòrnia	california
califòrnia	کالیفرنیا
fitxer	پرونده
peix	فیش
peix	ماهیان
peix	ماهی
militar	ارتش
militar	نظامی
militar	ارتشی
costa	کوستا
costa	کاستا
popular	عامه
popular	محبوبه
popular	محبوب
anomenat	نامدار
temporada	فصل
treball	شغل
treball	کار
treball	ایوب
treball	کار
treball	کاری
vila	ویلا
mare	مادر
mare	مادری
estudis	مطالعات
eleccions	انتخابات
articles	مقالات
articles	مقاله
discussió	بحثش
discussió	بحث
polític	سیاستمدار
conjunt	تنظیم
posteriorment	متعاقبا
llibre	کتاب
llibre	book
llibre	کتابی
roma	رُم
roma	رم
roma	روم
estil	سبک
moviment	جنبش
moviment	تحرک
moviment	نهضت
imperi	امپراطوری
imperi	امپایر
imperi	امپراتوری
divisió	تقسیم
divisió	واحد
membre	عضو
membre	عضوی
sempre	always
sempre	همیشه
porta	در
teatre	تئاتر
teatre	theater
teatre	سینماها
teatre	تئاتر
membres	اعضای
membres	اعضا
ells	آنها
ells	آنان
moltes	بسیار
acord	توافقنامه
acord	موافقتنامه
acord	قرارداد
acord	توافق
jocs	بازیهای
jocs	بازیها
jocs	بازی
rebre	دریافت
rebre	دریافت
illes	جزایر
avui	امروز
http	http
alta	والا
alta	رفیع
alta	بلند
alta	التا
alta	آلتا
posició	موضع
posició	موقعیت
format	قالب
format	قالبی
espanyol	اسپانیا
espanyol	اسپانیایی
sovint	اغلب
comte	شمارش
jersey	نیوجرسی
jersey	جرسی
jersey	جرزی
canvi	تغییر
opció	گزینه
germà	برادر
germà	داداش
comunes	رایج
comunes	معمولی
comunes	مشترک
material	مواد
material	مصالح
superior	برتر
superior	مافوق
pas	گام
pas	مرحله
pas	قدم
nivell	تراز
nivell	لول
nivell	سطح
valència	والنسیا
crear	ایجاد
consell	شورای
consell	شورا
consell	انجمن
consell	اشاره
consell	راهنمایی
creu	صلیب
creu	کراس
creu	عبور
ben	بن
ben	بِن
futbol	football
futbol	فوتبال
antiga	سابق
antiga	پیشین
volta	ولتا
interior	interior
interior	داخلی
interior	درونی
josé	خسه
josé	ژوزه
josé	خوزه
finals	فینال
paper	کاغذ
institut	موسسه
institut	مؤسسه
institut	انستیتو
cultura	تمدن
cultura	فرهنگی
cultura	فرهنگ
baix	کم
baix	low
espai	فضای
espai	فضا
espai	فضایی
espai	فاصله
equips	تیمهای
pau	سلامت
pau	سلام
pau	صلح
pau	پائو
qualsevol	هر
qualsevol	هیچ
civil	civil
civil	مدنی
civil	غیرنظامی
torre	تاور
torre	برج
comerç	تجارت
carrer	استریت
carrer	خیابانی
carrer	خیابان
carrer	خیابون
etc	غیره
direcció	جهت
direcció	قبله
nens	کودکان
nens	فرزندان
nens	اطفال
elements	موارد
elements	عناصری
elements	عناصر
mapa	نگاشت
mapa	نقشه
especialment	مخصوصا
especialment	بخصوص
procés	فرایند
procés	پروسه
procés	فرآیند
procés	روند
procés	مراحل
versió	نسخۀ
versió	نسخه
municipal	شهری
vall	دره
local	محلی
guanyar	برنده
guanyar	پیروز
guanyar	برد
ibn	ابن
desenvolupament	توسعه
vertical	عمودی
set	تشنه
grups	گروهها
campionat	قهرمانی
pla	تدبیر
pla	پلان
pla	نقشه
original	اصیل
original	اصلی
original	اوریجینال
déu	خداوند
déu	خدا
déu	الهی
déu	خدایی
déu	الله
projecte	پروژه
situació	وضعیت
situació	موقعیت
carrera	حرفه
carrera	شغل
carrera	کاررا
alemany	آلمان
alemany	آلمانی
oriental	خاوری
oriental	شرقی
filla	دختر
societat	اجتماع
societat	جامعه
societat	انجمن
sis	شش
sis	سیکس
sis	شیش
forces	نیروهای
forces	نیروهایی
bisbe	اسقف
bisbe	بیشاپ
real	رئال
real	حقیقی
real	واقعی
èxit	کامیابی
èxit	موفق
èxit	موفقیتهای
èxit	success
èxit	موفقیت
social	اجتماعی
social	سوسیال
relació	رابطه
carles	شارل
carles	چارلز
dona	زن
dona	زنی
punts	نقطه
punts	نقاط
punts	امتیاز
mitjana	بدجنس
mitjana	میانگین
densitat	تراکم
densitat	چگالی
clubs	خاج
imatge	تصویر
imatge	نگاره
producció	تولید
pedra	سنگ
pedra	استون
pedra	سنگی
pedra	سنگسار
tracta	درمانش
tracta	درمان
cultural	فرهنگی
home	انسان
home	مَرد
home	مرد
resultats	نتایج
resultats	نتیجه
resultats	نتایجی
resum	خلاصۀ
resum	خلاصه
resum	خلاصۀ
resum	خلاصه
california	california
california	کالیفرنیا
gràcies	تشکر
gràcies	سپاس
gràcies	ممنون
econòmiques	اقتصادی
automòbils	ماشینها
escut	شیلد
escut	حفاظ
escut	سپر
autor	مؤلف
autor	نویسندۀ
autor	نویسنده
cantó	کانتون
productes	محصولاتی
productes	محصولات
estructura	ساختار
estructura	سازه
lliga	لیگ
ciutats	شهرها
gairebé	تقریباً
gairebé	تقریبا
gairebé	نزدیک
gairebé	نمانده
categoria	مقوله
categoria	دسته
partits	کبریت
estudi	تحصیل
estudi	مطالعه
estudi	studio
estudi	استودیو
estudi	استدیو
muntanya	کوهستانی
muntanya	کوهی
muntanya	کوه
muntanya	کوهستان
estudiant	studying
estudiant	مطالعه
estudiant	محصل
estudiant	شاگرد
estudiant	دانشجو
sobretot	مخصوصا
sobretot	بخصوص
academy	آکادمی
academy	فرهنگستان
reparació	تعمیر
reparació	تعمیرات
serra	سرا
propietaris	صاحبان
comunitat	اجتماع
comunitat	ملتی
comunitat	جامعه
comunitat	انجمن
comunitat	امت
lluís	لویی
lluís	لوئی
fons	زمینه
fons	تهش
fons	مفعول
fons	پایین
fons	باتوم
milions	میلیون
milions	میلیونی
milions	ملیون
revista	مجله
familiars	نزدیکان
familiars	خویشان
familiars	خویشاوندان
jove	جوان
jove	یانگ
jove	جوون
jove	یونگ
bottom	تهش
bottom	مفعول
bottom	پایین
bottom	باتوم
palau	پالائو
detall	جزئیات
detall	جزییات
elaboració	آمادگی
elaboració	تدارک
sur	سور
sexe	سکس
sexe	جنسیت
sexe	جنسی
camí	راه
camí	مسیر
emperador	امپراتور
emperador	امپراطور
estadístiques	آمارهای
estadístiques	آمار
campió	قهرمان
campió	پهلوان
campió	champion
control	مهار
control	کنترل
control	کنترول
copa	کوپا
principalment	اساسا
principalment	عمدتاً
llei	حقوق
llei	قانون
interès	ربا
interès	علاقه
interès	بهره
participar	شرکت
gràfic	نمودار
gràfic	چارت
anual	سالانه
anual	سالیانه
fan	بادبزن
fan	طرفدار
fan	پنکه
fan	فن
defensa	دفاعی
defensa	دفاع
defensa	دفاع
llocs	مکانهایی
llocs	مکانها
llocs	مساجد
mai	mai
mai	مای
mai	هیچوقت
mai	هرگز
ministre	وزیر
ministre	وزیری
alçada	ارتفاعی
alçada	بلندی
alçada	قد
alçada	ارتفاع
alçada	height
gràfica	گراف
funció	کارکرد
funció	تابع
dècada	دهه
dècada	میلادی
activitat	فعالیتها
activitat	فعالیت
presenta	هدایای
presenta	کادو
presenta	میزند
anterior	پیشین
anterior	قبلی
tour	تور
tour	tour
ella	اون
ella	او
ella	او
públic	حضار
públic	مخاطب
públic	عمومی
públic	علنی
públic	همگانی
públic	public
programa	برنامۀ
programa	پروگرام
programa	برنامه
programa	برنامه
jaume	جیمز
jaume	خامس
següents	following
següents	ذیل
francesc	francesc
cinema	سینما
cinema	سینمای
cinema	cinema
juan	خوان
juan	خوآن
petita	کوچک
petita	small
petita	کوچکی
petita	اسمال
tropes	سربازان
construir	بسازم
construir	ساختن
construir	بساز
construir	بسازید
construir	بسازی
fundació	پایه
fundació	بنیاد
podria	میتوانست
esquerra	چپ
patrimoni	میراث
patrimoni	ارث
referència	ارجاع
referència	مرجع
inici	شروع
inici	آغاز
zones	نواحی
zones	مناطق
hall	هال
hall	تالار
àrea	منطقه
àrea	مساحت
àrea	ناحیه
imagesize	imagesize
medalla	مدال
timeaxis	timeaxis
aproximadament	حدوداً
plotarea	plotarea
scalemajor	scalemajor
dateformat	dateformat
massa	جرم
massa	توده
alignbars	alignbars
veu	صدا
veu	صدای
pobresa	فقر
brasil	برزیل
scaleminor	scaleminor
formació	آموزش
formació	تمرین
formació	تمرینات
formació	آموزشی
formació	تعلیم
formació	اموزش
backgroundcolors	backgroundcolors
organització	سازمان
organització	سازماندهی
resultat	نتیجه
resultat	نتیجۀ
resultat	حاصل
anglaterra	انگلستان
anglaterra	انگلیس
possible	امکان
possible	ممکن
duc	دیوک
duc	دوک
mesos	ماهها
mesos	ماه
mesos	ماهه
mesos	ماههای
terres	اراضی
terres	سرزمینهای
terres	سرزمین
professor	پروفسور
professor	پرفسور
musical	موزیکال
ingressos	درآمدی
ingressos	درآمد
joc	بازی
joc	گیم
mas	ماس
mas	mas
robert	رابرت
robert	روبرت
robert	robert
robert	روبر
llengües	زبانهای
llengües	زبانها
llengües	زبان
comune	comune
comune	کومونه
transport	انتقال
transport	ترابری
jean	ژان
creació	آفرینش
creació	ایجاد
creació	خلقت
grec	یونان
grec	یونانی
caps	سر
caps	سرها
caps	سرهای
príncep	پرنس
príncep	پرینس
príncep	شاهزاده
model	model
model	مدل
tercer	سومین
tercer	سومی
tercer	سوم
jugador	بازیکن
municipis	شهرهای
municipis	دهستانهای
llindar	آستانه
pàrquing	پارکینگ
victòria	پیروزی
victòria	پیروز
victòria	فتح
victòria	ویکتوریا
restauració	بازگردانی
restauració	مرمت
restauració	ترمیم
principis	اصول
fent	ساختن
rússia	روسیه
llogaters	مستاجر
tractat	عهدنامه
tractat	معاهده
tractat	پیمان
david	داوید
david	داود
david	داوود
david	دیوید
david	david
escriptor	نویسنده
jordi	جوردی
naixement	تولد
naixement	birth
naixement	ولادت
viquipèdia	ویکیپدیا
viquipèdia	ویکیپدیای
estiu	تابستان
estiu	سامر
estiu	تابستون
estiu	تابستانی
nelson	نلسون
press	پرس
press	فشار
índia	هند
índia	هندوستان
orde	نظم
orde	فرمان
orde	دستور
orde	سفارش
orde	ترتیب
parts	قطعات
parts	عورت
parts	احزاب
manuel	مانوئل
probablement	احتمالا
probablement	احتمالاً
italià	ایتالیایی
italià	ایتالیا
antonio	آنتونیو
capita	capita
mestre	master
mestre	استادی
mestre	ارباب
mestre	استاد
xina	چین
tanmateix	هرچند
plantes	گیاهان
fabricació	تولید
fabricació	ساخت
fabricació	تولیدی
las	لاس
las	las
explotacions	مزارع
romà	رومان
romà	رومی
romà	رومن
romà	روم
número	عدد
número	شمارۀ
número	شماره
ruta	مسیر
ruta	راتا
entrada	مدخل
entrada	ورودی
entrada	ورود
caràcter	شخصیت
caràcter	نویسه
companyia	گروهان
companyia	شرکت
companyia	company
companyia	کمپانی
deu	ده
reis	پادشاهان
reis	سلاطین
reis	شاهان
reis	کینگز
port	درگاه
port	بندر
portar	حمل
conca	حوضه
conca	سماور
parc	park
parc	پارک
festival	عیدی
festival	جشنواره
arts	arts
arts	هنر
arts	هنرهای
ramon	رامون
gratuït	free
gratuït	آزادی
gratuït	رایگان
gratuït	آزاده
gratuït	آزاد
mitjans	رسانه
drets	حقوق
llibres	کتابها
llibres	کتاب
llibres	کتابهای
inclou	شامل
governador	حاکم
governador	فرماندار
compositor	مؤلف
compositor	composer
compositor	آهنگساز
tercera	سومین
tercera	سومی
tercera	سوم
capella	کاپل
capella	نمازخانه
capella	چپل
capella	کلیسای
bona	خوبی
bona	good
bona	خوب
bona	خوبش
personatges	نویسه
teoria	نظریه
teoria	تئوری
teoria	فرضیه
comunicació	ارتباط
comunicació	ارتباطات
comunicació	مکاتبه
comunicació	ارتباطی
llum	سبک
llum	روشنایی
llum	نور
llum	روشن
llum	نوری
blanc	سپید
blanc	وایت
blanc	سفید
aragó	آراگون
massachusetts	ماساچوست
meitat	نیم
meitat	نیمی
meitat	نصف
lliure	free
lliure	آزادی
lliure	رایگان
lliure	آزاده
lliure	آزاد
aleshores	پس
pobles	مردمان
presència	حضورش
presència	حضور
televisió	تلویزیون
televisió	تلویزیونی
últim	آخری
últim	لست
últim	واپسین
últim	آخرین
últim	اخرین
tema	مبحث
tema	موضوع
tema	چهره
tema	چهرۀ
tema	تم
humans	انسانها
humans	بشر
humans	انسان
humans	انسانی
humans	بشر
estació	پاسگاه
estació	ایستگاه
associació	انجمن
pintor	نقاش
menor	کوچک
menor	خردسال
menor	کوچکی
japó	ژاپن
problemes	مسائلی
problemes	مسائل
problemes	مشکلات
objectiu	گل
objectiu	هدف
objectiu	goal
marc	قاب
marc	چارچوب
marc	فریم
xviii	هجدهم
xviii	هجدهمین
national	نشنال
national	ملی
acció	کنش
acció	اکشن
acció	اقدام
acció	عمل
ocupació	اشغال
mascles	ذکور
casos	موارد
fonts	منابع
noves	تازه
noves	نو
noves	جدید
noves	نیو
pont	پل
pont	پلی
imatges	تصاویر
principi	اصل
velocitat	سرعت
velocitat	سرعت
qualitat	کیفیتی
qualitat	کیفیت
professional	حرفهای
referències	مراجع
temple	پرستشگاه
temple	عبادتگاه
temple	معبد
temple	تمپل
vista	نما
vista	نمای
museum	موزه
aquí	اینجا
energia	انرژی
arc	قوس
arc	کمان
classe	رده
classe	ردۀ
classe	کلاس
classe	طبقاتی
classe	class
classe	کلاسی
dinastia	دودمان
dinastia	سلسله
wheeler	ویلر
front	جبهه
front	جلو
macdonald	مکدونالد
prova	آزمون
prova	آزمایش
prova	تست
barri	همسایه
barri	همسایگی
barri	محله
segles	قرنها
recent	اخیر
monestir	صومعه
animals	جانوران
animals	حیوانات
via	via
via	طریق
parlament	مجلس
parlament	پارلمان
educació	آموزش
educació	تحصیلات
característiques	ویژگیها
característiques	ویژگیهای
actor	هنرپیشه
actor	بازیگر
actor	actor
influència	تاثیر
influència	تأثیر
influència	نفوذ
conté	حاوی
gent	افراد
gent	مردمان
gent	آدمها
gent	مردم
especial	مخصوص
especial	ویژه
especial	خاص
especial	استثنایی
especial	خاصه
xarxa	شبکه
xarxa	network
nucli	هسته
nucli	هسته
nucli	هسته
decidir	تصمیم
mesura	پیمانه
sala	اتاق
sala	اتاقی
sala	اطاق
literatura	ادبیات
literatura	literature
clima	اقلیم
comença	شروع
comença	آغاز
selecció	گزینش
congrés	کنگره
papa	پاپ
papa	پوپ
sentit	عقل
sentit	حس
von	فون
von	فن
personal	کارمندان
personal	ستاد
personal	عصای
fotografia	عکس
fotografia	عکاسی
fotografia	photography
fotografia	عکسبرداری
castellà	اسپانیا
castellà	اسپانیایی
dirigida	کارگردانی
khan	khan
khan	خان
khan	هانگ
domini	دامنه
aviat	بزودی
fort	قوی
canal	کانال
canal	مجرا
canal	مجرای
canal	کانال
canal	مجرا
canal	مجرای
canal	چنل
canal	channel
honor	عزت
honor	شرافت
honor	شرف
honor	افتخار
quantitat	مقدار
quantitat	مبلغ
quantitat	کمیت
nascut	متولد
nascut	زاده
girona	خرنا
secció	بخش
enric	هنری
enric	آنری
life	زندگى
life	زندگی
acadèmia	آکادمی
acadèmia	فرهنگستان
cançó	نغمه
cançó	ترانه
cançó	اهنگ
cançó	آهنگ
cançó	آواز
capacitat	ظرفیت
capacitat	گنجایش
mallorca	مایورکا
mallorca	مایورکا
normalment	معمولا
normalment	معمولا
normalment	معمولاً
generalment	عموما
generalment	عموماً
der	der
cor	قلبی
cor	دل
cor	قلب
noms	نامها
noms	نامهای
sistemes	سیستمها
disseny	دیزاین
disseny	طرح
disseny	طراحی
pintura	نقاشی
svg	svg
coll	نک
coll	گردن
senyor	آقا
senyor	اقا
senyor	قربان
senyor	لرد
senyor	پروردگارا
biblioteca	کتابخانه
territoris	سرزمینهای
esdevenir	شدن
rus	روس
rus	روسیه
rus	روسی
genera	تولید
formes	شکلهای
formes	شکلها
campanya	لشکرکشی
campanya	کمپین
alcalde	شهردار
mes	ماه
recerca	تحقیق
recerca	تحقیقاتی
recerca	تحقیقات
recerca	پژوهش
successor	جانشینی
successor	جانشین
carretera	جاده
blackwell	بلکول
relacions	رابطه
relacions	روابط
relacions	روابط
fusta	چوبی
fusta	وود
fusta	چوب
llatí	لاتین
malden	مالدن
potser	شایدم
potser	شاید
britànic	بریتانیایی
britànic	بریتانیا
negre	مشکی
negre	سیاه
negre	سیاهی
negre	بلک
publicat	پست
xvi	شانزدهم
importància	اهمیت
paul	پائول
paul	پال
paul	پل
paul	پاول
aigües	آبها
aigües	آبهای
independència	استقلال
independència	استقلالی
lleó	شیر
respecte	مراعات
respecte	احترام
palomar	پالومار
industrials	صنعتی
etapes	مراحل
personatge	شخصیت
personatge	نویسه
aire	ایر
aire	هوا
aire	هوایی
editorial	ناشر
editorial	سرمقاله
petites	کوچک
petites	small
petites	کوچکی
petites	اسمال
unitat	یگان
unitat	یکای
unitat	واحد
unitat	یکا
american	آمریکایی
american	امریکایی
american	امریکن
american	آمریکن
atac	حمله
extrem	افراطی
plana	مسطح
plana	فلت
diari	روزنامه
diari	ژورنال
diari	مجله
diari	نشریه
figura	شکل
peces	قطعه
tècnica	تکنیک
diferència	تفاوت
diferència	فرق
lluita	کشتی
lluita	بجنگ
orquestra	نوازندگان
orquestra	ارکستر
òpera	تماشاخانه
òpera	اُپرا
òpera	اپرا
àrab	عربی
àrab	تازی
reina	queen
reina	ملکه
reina	بیبی
argentina	آرژانتین
argentina	آرژانتین
