категорија	категорія
започнува	починається
започнува	запускає
започнува	стартує
светот	світовий
светот	світ
светот	світе
светот	world
преку	via
преку	віа
преку	через
преку	крізь
преку	наскрізь
преку	через
преку	передивився
македонски	македонська
македонски	македонський
неколку	кілька
неколку	небагато
неколку	декілька
земјата	землею
земјата	earth
земјата	землі
земјата	земля
две	два
две	дві
две	двоє
две	двох
две	двійка
небо	небом
небо	небо
небо	небо
уште	still
уште	ще
уште	надалі
уште	досі
уште	більше
список	перелік
список	list
список	список
неговиот	його
септември	вересня
септември	вересні
септември	вересень
споменува	згадки
кое	какой
кое	який
кое	які
кое	яке
кое	яка
сјај	напруження
сјај	сяйво
град	містечко
град	місто
град	місто
агол	кутку
агол	куточок
агол	куті
агол	кут
село	село
село	село
информации	info
информации	інформації
информации	інформація
информации	відомості
информации	інформація
германија	германія
германија	німеччини
германија	німеччині
германија	німеччина
германија	німеччину
помеѓу	поміж
помеѓу	між
црква	церква
црква	костел
подоцна	згодом
подоцна	пізніше
подоцна	потому
познати	відома
познати	відоме
познати	відомі
познати	відома
познати	знамениті
познати	відомий
познати	знаменитий
жители	мешканці
жители	мешканці
жители	мешканців
бидејќи	адже
бидејќи	бо
треба	need
треба	треба
треба	потрібно
треба	потреби
треба	потреба
својата	свої
својата	його
мини	mini
мини	міні
мини	мін
мини	копальні
мини	міни
мини	мінні
против	проти
голем	великі
голем	великих
голем	великі
голем	велике
голем	велика
голем	великий
голем	біг
период	строк
период	період
луѓе	чоловіки
луѓе	народ
луѓе	людей
луѓе	люди
војна	війна
сад	сша
сад	usa
република	республіка
три	три
три	втрьох
три	трійка
без	без
помош	допомогу
помош	допомоги
помош	допоможіть
помош	допомогти
помош	допомога
помош	довідка
помош	допомогу
поделба	ділення
поделба	дивізіон
поделба	поділ
поделба	розділ
поделба	ділення
поделба	поділити
космос	космос
космос	космос
освен	окрім
освен	крім
над	закінчилося
над	над
над	закінчено
над	закінчилась
над	вище
неговите	його
иако	хоча
иако	хоча
иако	щоправда
низ	крізь
низ	наскрізь
низ	через
низ	передивився
села	селах
села	села
села	сіл
пример	приклад
пример	прикладу
јазици	мови
јазици	мов
потоа	потім
потоа	тоді
денес	сьогодні
видот	зір
начин	спосіб
начин	шлях
два	два
два	дві
два	двоє
два	двох
два	двійка
точка	крапка
точка	точка
точка	точку
точка	point
заедно	разом
литература	література
пак	знов
пак	знову
пак	pac
него	нього
него	постане
него	йому
него	ним
него	його
сепак	незважаючи
сепак	still
сепак	ще
сепак	надалі
сепак	досі
сепак	ще
смета	вважає
постојат	існують
постојат	існує
своите	свої
своите	його
објект	object
објект	підприємстві
јануари	січні
јануари	січень
јануари	січня
систем	система
систем	системи
систем	системний
систем	системне
систем	системна
име	назва
десно	правий
десно	права
десно	право
десно	праворуч
основни	необхідних
основни	необхідного
основни	необхідний
основни	базові
основни	базове
основни	основні
основни	базовий
основни	основний
сателитот	супутник
можат	можна
користи	використати
користи	використовувати
користи	користування
користи	використання
нив	їх
нив	їм
нив	комплектів
класификација	класифікація
група	група
група	групова
група	груповий
група	групу
група	спільнота
истражувања	опитування
истражувања	дослідження
истражувања	research
европа	європу
европа	європа
европа	європі
прв	перше
прв	перша
прв	перший
држави	стани
држави	штати
држави	країн
држави	країни
откриен	виявлені
откриен	виявлено
откриен	названо
откриен	відкрив
проучување	вчиться
проучување	навчається
проучување	навчання
проучување	вивчення
проучување	навчання
пат	пет
пат	пат
пат	дорожні
пат	дорога
галаксии	галактики
галаксии	галактик
август	серпні
август	серпня
август	серпень
вклучен	звязок
вклучен	заручена
вклучен	вивели
предмет	елемент
предмет	object
предмет	темою
предмет	тема
предмет	предмет
астрономски	астрономічна
набљудување	спостереження
мај	травнева
мај	травня
мај	травневі
мај	травні
мај	травень
истражувачи	дослідники
истражувачи	вчені
критериуми	критерії
критериуми	критерій
март	березні
март	березень
март	березня
користена	використовується
користена	використана
користена	використані
користена	використано
ѕвезди	зірки
голема	великі
голема	великих
голема	великі
голема	велике
голема	велика
голема	великий
голема	біг
секој	нікому
секој	нікого
секој	хтось
секој	кожен
секој	кожні
цел	мета
поделби	поділ
оние	ті
оние	тих
оние	тими
јули	липень
јули	липні
јули	липня
америка	америка
америка	америки
америка	америка
цар	цар
цар	імператор
цар	ніколая
често	часто
често	часто
поправени	фіксована
поправени	виправлено
поправени	фіксований
поправени	відремонтувати
припаѓа	належить
истражување	опитування
истражување	дослідження
истражување	research
работи	things
работи	речі
работи	речей
работи	працює
работи	робота
работи	робочий
работи	всякі
градови	містами
градови	міста
градови	городи
градови	містах
градови	міст
места	місць
места	місця
места	місцини
места	плями
места	плям
места	місця
места	сидіння
места	автомати
места	гнізда
места	слоти
април	квітень
април	квітня
април	квітні
роден	народження
роден	народився
роден	борн
роден	народилась
роден	народилася
октомври	жовтень
октомври	жовтня
октомври	жовтні
земја	країни
земја	країна
земја	кантрі
земја	землею
земја	earth
земја	землі
земја	земля
повторно	знов
повторно	знову
око	eye
око	око
франција	франції
франција	франція
франција	францію
димензии	розміри
димензии	виміри
округот	графство
округот	повіт
округот	жупанія
округот	шир
позната	відома
позната	відоме
позната	відомі
позната	відома
позната	знамениті
позната	відомий
позната	знаменитий
позната	знайомі
нивните	своїх
нивните	їхньому
нивните	свої
нивните	їхнє
галаксија	галактика
игри	ігор
игри	games
игри	ігри
деклинација	схилення
историја	журнал
историја	історія
историја	історії
откако	після
ноември	листопаді
ноември	листопад
ноември	листопада
јуни	червня
јуни	червні
јуни	червень
лакот	уклін
лакот	арку
лакот	лук
теме	вершиною
теме	вершина
теме	вершину
станува	стає
станува	стане
живот	життя
живот	лайф
северна	північна
северна	північний
северна	північне
настани	події
ширина	ширина
ширина	ширину
ширина	товщина
култура	культура
центар	центр
центар	центр
втората	другий
втората	друге
втората	друга
втората	секунда
население	населення
декември	грудень
декември	грудня
декември	грудні
мери	мері
мери	мері
мери	марічка
мери	маріє
трае	триває
дела	працює
дела	вчинками
дела	делла
ден	день
ден	дню
ден	дня
состојба	стан
состојба	держава
состојба	умова
дијаметар	діаметр
рим	рим
особено	особливо
особено	особливо
означена	позначено
означена	позначене
означена	відмічені
означена	позначені
италија	italia
италија	італії
италија	італія
италија	італію
тогаш	потім
тогаш	тоді
реката	річка
реката	ріка
леќа	лінзи
леќа	лан
земји	країн
земји	країни
шаблон	взірець
шаблон	взірцем
шаблон	візерунок
шаблон	шаблон
шаблон	шаблон
шаблон	template
вид	добрі
вид	вид
вид	різновид
член	член
член	учасник
член	учасника
член	члена
член	стаття
член	статтю
беа	були
познат	відома
познат	відоме
познат	відомі
познат	відома
познат	знамениті
познат	відомий
познат	знаменитий
округ	графство
округ	повіт
округ	жупанія
округ	улус
округ	округ
округ	нохія
округ	район
затоа	отже
затоа	тому
американски	американський
американски	американець
американски	американські
американски	американська
американски	американської
област	область
област	область
област	ділянка
област	площа
област	місцевість
јужна	південна
јужна	південний
јужна	південна
јужна	південь
јужна	південний
едно	одна
едно	one
едно	одне
едно	один
етапа	стадія
забележан	помічено
износ	сума
износ	суму
филмови	films
филмови	фільми
филмови	фільмів
филмови	знімали
филмови	фільми
филмови	кіно
англиски	англійською
англиски	англійська
бугарија	болгарії
бугарија	болгарія
првенство	чемпіонський
првенство	чемпіонат
опсерваторија	обсерваторія
дури	навіть
дури	даже
грција	греції
грција	греція
однос	грудьми
однос	стосунки
однос	взаємовідношення
содржи	містить
содржи	містяться
спроведено	проводили
спроведено	провели
милиони	мільйон
милиони	мільйонами
милиони	мільйони
збор	словом
збор	слово
нивната	своїх
нивната	їхньому
нивната	свої
нивната	їхнє
февруари	лютому
февруари	лютий
февруари	лютого
работа	завдання
работа	робота
работа	роботи
работа	робота
работа	працюю
работа	працюють
работа	роботу
работа	робочий
функција	функція
функција	функцію
функција	функції
држава	країни
држава	країна
држава	кантрі
држава	стан
држава	держава
календари	календарі
секоја	кожен
секоја	кожні
секоја	кожну
секоја	кожного
секоја	кожному
секоја	кожен
секоја	кожна
русија	росії
русија	росію
русија	росія
постои	існує
метри	метрах
метри	метрів
метри	метри
метри	метрів
метри	метри
нејзината	her
нејзината	нею
нејзината	її
нејзината	їй
големи	великі
големи	великих
големи	великі
големи	велике
големи	велика
големи	великий
големи	біг
четири	четвірка
четири	чотирьох
четири	чотири
џон	джон
џон	іоанн
џон	іван
џон	йон
џон	джон
олимписки	олімпіади
олимписки	олімпійська
олимписки	олімпійський
олимписки	олімпійські
делови	частини
делови	частинами
политика	правила
политика	політики
политика	policy
политика	політика
политика	політикою
политика	політика
видови	видів
видови	види
видови	сортів
видови	виді
видови	вид
видови	види
империја	імперія
главен	шеф
главен	вождь
главен	головний
главен	головний
главен	основне
главен	головна
главен	головні
главен	головне
врска	посиланням
врска	посилання
врска	link
врска	лінк
врска	стосунки
врска	взаємовідношення
врска	бонд
свети	світяться
свети	блиск
свети	світить
свети	святе
свети	священна
свети	священні
свети	святий
свети	saint
свети	сен
свети	напруження
свети	сяйво
вклучувајќи	включаючи
вклучувајќи	включно
вклучувајќи	зокрема
телескоп	телескопа
телескоп	телескоп
групи	групи
групи	груп
групи	спільноти
најчесто	здебільшого
најчесто	переважно
награда	винагороду
награда	нагорода
награда	премія
награда	нагорода
значи	означають
значи	середнє
значи	засоби
разговор	спілкування
разговор	розмови
разговор	розмова
разговор	бесіда
разговор	спілкування
разговор	балачки
разговор	чат
филм	фільм
филм	кіно
филм	фільм
филм	плівка
википедија	вікіпедія
крај	завершити
крај	кінець
крај	закінчити
крај	закінчиться
крај	закінчення
вода	вода
вода	водні
вода	водяний
вода	водяне
резултат	рахунок
резултат	результат
резултат	оцінка
резултат	результат
улога	ролі
улога	роль
претседател	президент
претседател	президенти
училиште	школа
училиште	училище
страница	сторінку
страница	сторінка
страница	сторінки
страница	пейдж
западна	західний
западна	західні
западна	західна
нови	нові
нови	нове
нови	нова
нови	новий
нови	створити
песни	пісень
песни	пісні
песни	songs
организација	організація
организација	установа
организација	установа
организација	організація
лидери	лідери
лидери	лідерів
познато	знайомі
случај	регістр
случај	справа
случај	випадок
случај	випадку
редослед	замовити
редослед	ордер
редослед	наказ
редослед	порядок
сезона	season
сезона	сезон
сезона	сезону
игра	гра
игра	гри
игра	гру
веќе	уже
веќе	вже
основа	дичини
основа	базис
населба	поселення
населба	сусідство
населба	сусідства
сили	сил
сили	сили
сили	військах
обично	зазвичай
обично	зазвичай
обично	звичний
обично	звичайні
бројни	безліч
промени	зміни
промени	зміна
промени	change
промени	змінити
разлика	судження
разлика	порівняння
разлика	diff
разлика	різниця
разлика	розбіжності
разлика	різниця
разлика	різниці
употреба	користування
употреба	використання
употреба	використати
употреба	використовувати
употреба	користування
употреба	використання
форма	форму
форма	форма
форма	форму
форма	форма
договор	домовитися
договор	здати
договор	згода
договор	домовились
договор	угода
договор	угода
договор	угоду
договор	договір
договор	контракт
договор	договір
договор	договору
изграден	побудовано
изграден	побудували
изграден	зібрано
изграден	побудовано
изграден	проведена
некој	нікому
некој	нікого
некој	хтось
некој	кимось
некој	когось
некој	хтось
некој	кимось
некој	когось
некој	хтось
лига	ліга
лига	ліга
влијание	вплив
влијание	перебіг
влијание	впливати
влијание	вплив
друга	інший
друга	інша
членови	учасники
членови	члени
починал	помер
починал	померла
површина	поверхні
површина	поверхня
површина	стільниці
неа	her
неа	нею
неа	її
неа	їй
неа	неа
после	після
острови	острови
острови	іль
острови	isles
вештачки	штучно
вештачки	штучна
вештачки	штучний
вештачки	штучне
вештачки	штучні
самиот	себе
самиот	собі
самиот	собою
самиот	виступили
самиот	себе
самиот	власноруч
самиот	собі
самиот	собою
ред	замовити
ред	ордер
ред	наказ
ред	порядок
ред	рядок
лица	осіб
лица	особи
лица	облич
лица	обличчя
друг	інший
друг	інша
почеток	запустити
почеток	розпочати
почеток	старт
почеток	запускати
почеток	початок
почеток	почати
почеток	початок
народи	народи
син	сина
син	сину
син	син
албум	альбому
албум	альбом
никола	нікола
никола	нікола
македонска	македонська
македонска	македонський
нова	нові
нова	нове
нова	нова
нова	новий
нова	створити
австралија	австралія
австралија	australia
австралија	австралії
тур	гастролі
тур	tour
тур	тур
повеќето	найцікавіше
повеќето	більшість
александар	александар
александар	олександр
александар	александер
вилијам	вільям
татко	тато
татко	батька
татко	батько
татко	батьку
татко	отець
движење	русі
движење	рух
движење	переміщення
движење	руху
движење	переїзд
движење	пересування
движење	рух
дело	вчинку
дело	роботи
дело	робота
дело	працюю
дело	працюють
дело	роботу
дело	робочий
власт	авторитет
власт	правом
власт	влада
власт	живлення
власт	сила
власт	power
прва	перше
прва	перша
прва	перший
мора	мусить
мора	має
мора	повинен
англија	англія
развој	розвитку
развој	розвиток
развој	розробка
развој	проведення
развој	розробку
развој	розвиваються
деца	діти
деца	дітям
деца	дітьми
деца	дітлахи
деца	дітки
деца	діти
деца	дітьми
деца	дітей
лево	ліворуч
лево	ліва
лево	лівий
лево	зліва
главно	переважно
главно	головним
главно	основному
главно	здебільшого
главно	переважно
србија	сербія
србија	сербії
сега	тепер
сега	зараз
кариера	кар
општини	підпорядкування
храм	храму
храм	храм
ниво	рівень
облик	форму
облик	форма
тим	тімоті
тим	тім
тим	команда
сателити	супутники
ера	епоха
музика	музика
музика	музики
музика	музик
музика	музиці
музика	музику
германски	німецька
германски	німець
германски	герман
германски	німецькою
германски	німецький
видете	подивитися
видете	див
видете	бачите
видете	бачу
видете	переглянути
археолошки	археологічний
близина	поблизу
близина	поруч
дали	рахував
дали	зробили
дали	вчинили
дали	робили
дали	робить
универзитет	університет
море	море
пати	таймс
пати	час
пати	часи
пати	times
париз	paris
париз	париж
целосно	повноцінного
целосно	повністю
целосно	цілком
целосно	повністю
целосно	повністю
поле	поля
поле	поле
минути	хвилин
минути	хвилини
листа	перелік
листа	list
листа	список
мала	малий
мала	малі
мала	маленькі
мала	маленька
мала	маленький
мала	маленькі
вредност	значення
вредност	вартість
поделени	розділена
поделени	розділив
британија	британія
поврзани	схожі
саксонија	саксонія
свет	світовий
свет	світ
свет	світе
свет	world
потекло	джерело
потекло	походження
потекло	спуск
потекло	джерел
владетел	лінійка
шпанија	іспанію
шпанија	іспанія
шпанија	іспанії
спорт	спорт
спорт	спорт
спорт	спортивні
спорт	спорту
програма	програма
програма	програма
мали	малий
мали	малі
мали	маленькі
мали	маленька
мали	маленький
мали	маленькі
мали	малий
мали	малі
куќа	хати
куќа	будинок
институции	закладів
институции	установи
институции	інституції
институции	установ
институции	топові
буда	будда
трка	перегони
трка	забіг
трка	раса
крал	кінг
крал	король
крал	цар
таму	туди
таму	там
веднаш	негайно
веднаш	одразу
веднаш	відразу
слика	picture
слика	зображення
слика	картинка
слика	фото
слика	зображення
слика	малювання
слика	картина
слика	живопис
статија	стаття
статија	статтю
ссср	срср
статии	статті
статии	статтями
статии	статей
евреите	жиди
евреите	євреї
евреите	євреїв
француски	френч
француски	французька
француски	французькою
француски	французький
партија	вечірка
партија	партії
партија	вечірки
партија	партія
партија	party
природни	натуральний
природни	натуральна
природни	натуральні
природни	природний
природни	природні
кралство	царство
кралство	kingdom
кралство	королівство
државите	стани
државите	штати
река	річка
река	ріка
политички	політично
политички	політичний
политички	політичне
политички	політична
политички	політичні
области	райони
области	області
области	ділянки
области	територіях
области	площі
области	районів
право	чесні
право	стріт
право	прямі
право	прямо
право	відверта
право	правий
право	права
право	право
право	праворуч
серија	серія
серија	серії
серија	ряд
серија	ряди
серија	серія
енергија	енергія
значајни	значний
островот	острів
образование	освіта
образование	освіти
образование	education
дена	днів
дена	дні
добро	хороші
добро	гарні
добро	добрий
добро	добре
извршување	виконання
извршување	виконати
извршување	виконання
негово	його
нејзините	свої
нејзините	його
наведени	зазначив
наведени	перелічені
наведени	зазначає
тука	тут
смртта	death
смртта	смерть
смртта	смерті
римјаните	римляни
римјаните	роман
римјаните	римлянам
родени	народження
родени	народився
родени	борн
родени	народилась
родени	народилася
натпревари	збігається
натпревари	матчів
натпревари	відповідає
натпревари	сірники
натпревари	конкурсів
натпревари	змагань
натпревари	змагання
натпревари	конкурси
егејска	егейське
албанија	албанії
албанија	албанія
книга	книжка
книга	книжечки
книга	книга
книга	книги
речиси	майже
азија	азія
песна	доріжки
песна	трек
песна	композицію
песна	доріжка
песна	композиція
песна	стежити
песна	конкурс
песна	пісня
всушност	насправді
всушност	взагалі
боја	колір
боја	кольорова
боја	paint
боја	фарба
боја	малювати
боја	фарби
боја	колір
боја	кольорова
прави	займаюся
прави	робить
понекогаш	інколи
понекогаш	деколи
понекогаш	іноді
води	веде
води	вод
води	лід
води	свинець
води	ведучий
води	ліда
поглед	перегляд
поглед	вигляд
поглед	view
поглед	вид
поглед	переглянути
заедница	громада
заедница	спільнота
заедница	спільноти
стил	стиль
рок	скеля
рок	рок
рок	кручі
рок	rock
мухамед	мухаммед
мухамед	мухаммад
мухамед	мухаммед
комитет	комітету
комитет	комітет
африка	африка
населени	населеному
континент	континенті
континент	континент
континент	континенту
животот	життя
животот	лайф
регион	ділянку
регион	регіон
моќ	влада
моќ	живлення
моќ	сила
моќ	power
сила	міцність
сила	інтенсивність
сила	сили
сила	сила
сила	примусово
сила	примусити
сила	сила
сила	force
исток	схід
извештај	повідомити
извештај	скарга
извештај	звіт
лондон	лондонський
лондон	london
лондон	лондон
кина	china
кина	китаї
кина	китаю
кина	китай
права	права
елементи	елементи
елементи	записів
елементи	пункти
елементи	записи
елементи	елементи
теорија	теорія
најголем	найбільші
најголем	найбільша
најголем	найбільшу
најголем	найбільший
значење	сенс
значење	значення
значење	значущість
орбита	орбіталь
орбита	орбіта
езеро	озеро
езеро	озера
руски	російська
руски	російською
руски	російську
битола	бітола
соодветната	відповідний
нешто	щось
нешто	дещо
нешто	чимось
црна	чорні
црна	чорне
црна	чорна
црна	чорний
натпревар	змагання
натпревар	збіг
натпревар	відповідність
натпревар	матч
натпревар	двобій
натпревар	сірники
натпревар	конкурс
натпревар	євробачення
смрт	death
смрт	смерть
смрт	смерті
културни	культурний
културни	культурні
милениум	тисячоліття
пари	гроші
средината	середина
средината	середини
најголема	найбільші
најголема	найбільша
најголема	найбільшу
најголема	найбільший
најголема	greatest
најголема	найбільшим
најголема	найбільших
најголема	найбільші
најголема	найбільша
наместо	натомість
наместо	замість
веб	web
веб	веб
петар	петро
петар	пітер
петар	петар
царство	царство
царство	kingdom
царство	королівство
царство	імперія
царство	королівства
влада	правління
влада	уряд
јазикот	язик
јазикот	язика
човек	людина
човек	людський
човек	людина
човек	чоловік
човек	мужчина
човек	man
направи	make
направи	зробити
направи	зробила
направи	made
мека	мекка
мека	soft
мека	ніжні
мал	малий
мал	малі
мал	маленькі
мал	маленька
мал	маленький
мал	маленькі
мал	mal
изградена	побудовано
изградена	побудували
изградена	зібрано
системи	систем
системи	systems
семејство	сімейство
семејство	сімейний
семејство	сімейні
семејство	родина
услови	вимоги
услови	умови
услови	умовами
услови	терміни
услови	умови
пол	стать
пол	статі
пол	гендерна
пол	пол
пол	пауль
пол	павло
кралот	кінг
кралот	король
кралот	цар
поголем	точніше
поголем	більший
поголем	більше
поголем	більшого
поголем	більшим
поголем	більший
поголем	більші
поголем	більше
поголем	більша
заштита	захист
сан	сан
лав	лев
лав	лео
лав	лев
општествени	соціальне
општествени	соціальні
општествени	соціальна
општествени	соціальний
турција	туреччина
најмногу	найцікавіше
најмногу	більшість
најмногу	здебільшого
најмногу	переважно
победа	win
победа	переможе
победа	перемога
победа	перемоги
мајка	мамо
мајка	мама
мајка	матір
мајка	мати
мајка	матері
малку	маленька
малку	маленький
малку	маленькі
разни	різноманітні
разни	різні
дава	подано
дава	дає
надвор	ззовні
надвор	надворі
надвор	поза
надвор	зовні
надвор	назовні
надвор	вийшов
надвор	out
клуб	club
клуб	клуб
слики	зображення
слики	зображень
слики	зображення
слики	картинки
слики	фотографії
слики	світлини
слики	світлин
слики	фото
војска	військові
војска	військовий
војска	армії
војска	армія
војска	військо
војска	армійський
одредени	певних
одредени	певні
одредени	конкретний
одредени	певна
уметност	мистецтво
уметност	арт
уметност	мистецтво
уметност	художня
помалку	менше
географија	географія
ниту	ані
растојание	дистанція
растојание	відстань
растојание	дистанції
растојание	інтервал
растојание	проміжки
растојание	зміщення
растојание	зсув
растојание	відступ
втор	другий
втор	друге
втор	друга
втор	секунда
покраина	провінція
медина	медіна
височина	висота
рем	рем
себе	себе
себе	собі
себе	собою
себе	виступили
себе	себе
себе	власноруч
себе	собі
себе	собою
јован	йован
јован	джон
јован	іоанн
јован	іван
извори	джерела
извори	джерел
жени	жінок
жени	жінки
должина	тривалість
должина	довжина
должина	довжини
големо	великі
големо	велике
големо	велика
големо	великий
големо	біг
знаме	прапором
знаме	прапорець
знаме	прапор
знаме	прапора
живи	живий
живи	жива
живи	живим
живи	alive
избран	обраний
избран	вибрано
избран	вибрана
избран	вибране
избран	вибраний
избран	вибраний
избран	обрані
избран	вибрані
избран	вибране
избран	вибрано
функции	функції
нирвана	нірвана
вели	каже
секогаш	завжди
она	вона
она	she
вкупно	усього
вкупно	всього
вкупно	загалом
вкупно	загальна
вкупно	загальний
прво	перше
прво	перша
прво	перший
вклучува	включення
вклучува	входить
вклучува	включає
итн	тощо
итн	etc
факултет	коледж
факултет	коледжі
факултет	внз
